,Code,Title,Points1,Points2,Mid-point,Year
567,GA680,Mechanical Engineering,330,,401,2020
568,GA681,Energy Engineering,293,,366,2020
569,GA682,Biomedical Engineering,313,,393,2020
570,GA683,Agricultural Engineering,309,,385,2020
571,GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),340,,405,2020
572,GA685,Manufacturing Engineering Design,309,,379,2020
581,GA780,Applied Freshwater and Marine Biology,327,,377,2020
582,GA781,Applied Biology and Biopharmaceutical Science,337,,390,2020
583,GA782,Chemical and Pharmaceutical Science,336,,388,2020
584,GA783,Physics and Instrumentation,363,,408,2020
585,GA784,Science (Undenominated),372,,403,2020
586,GA785,Medical Science,473,,500,2020
587,GA786,Forensic Science and Analysis,317,,387,2020
588,GA787,Computing in Software Development,270,,315,2020
589,GA788,Computing and Digital Media,274,,356,2020
590,GA789,Agriculture and Environmental Management,287,,371,2020
591,GA790,Sport and Exercise Science,356,,409,2020
592,GA791,Public Health Nutrition,368,,409,2020
599,GA880,General Nursing,429,422,441,2020
600,GA882,Psychiatric Nursing,367,,377,2020
601,GA885,Outdoor Education,252,,262,2020
602,GA887,History and Geography,244,,380,2020
603,GA889,Applied Social Care,266,,298,2020
604,GA890,Early Childhood Education and Care,270,,327,2020
605,GA891,Geography and Outdoor Education,244,,391,2020
607,GA980,Education (Design Graphics and Construction),377,,411,2020
608,GA984,"Furniture Design, Making and Technology - Common Entry",284,,369,2020
610,GC200,Business Studies,252,252,369,2020
611,GC201,Accounting and Finance,303,303,388,2020
612,GC230,Computing Science,335,325,393,2020
613,GC250,Communications and Media Production,,,,2020
614,GC300,Business Studies,429,,432,2020
615,GC301,Accounting & Finance,253,253,346,2020
616,GC302,Business Studies - HRM,,,,2020
617,GC305,International Hospitality Management,253,253,253,2020
620,GC400,Business Studies,248,248,281,2020
621,GC401,Accounting and Finance,240,227,343,2020
622,GC402,Business Studies (HRM),264,236,236,2020
623,GC403,Law,244,228,328,2020
624,GC407,Business Studies (Marketing),280,280,321,2020
627,GC430,Computing Science,252,220,298,2020
629,GC450,Communications and Media Production,254,254,280,2020
631,GC462,Design Communication (portfolio),,,,2020
636,GC489,Interior Architecture (portfolio),254,,301,2020
638,GC494,Fashion Design (portfolio),337,217,412,2020
640,GY101,Arts (Joint-Honours),300,,391,2020
641,GY104,Arts (Psychology),523,520,542,2020
642,GY105,Arts (History),301,,377,2020
643,GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),409,,456,2020
644,GY109,Arts (Mathematics and Education),403,,466,2020
645,GY110,Arts with Children`s Studies,357,,418,2020
646,GY111,Arts with Creative Writing,330,,492,2020
647,GY112,Arts with Film Studies,321,,399,2020
648,GY113,Arts with Human Rights,368,,422,2020
