Title,Points1,Points2,Year
Business Studies and German,474,495,2019
Business Studies and Russian,467,487,2019
Business Studies and Polish,393,434,2019
Business Studies and Spanish,510,543,2019
General Nursing (Meath and St James`s),393,420,2019
General Nursing (Adelaide School of Nursing),378,409,2019
Mental Health Nursing,358,377,2019
Intellectual Disability Nursing,346,350,2019
Children`s and General Nursing (Integrated),476,487,2019
Midwifery,423,462,2019
Architecture,473,509,2019
Landscape Architecture,353,403,2019
City Planning and Environmental Policy,367,421,2019
Engineering (Common Entry),511,554,2019
Science (options),521,554,2019
Computer Science (Common Entry),488,509,2019
Actuarial and Financial Studies,577,589,2019
Agricultural Science (options),420,462,2019
Dairy Business,398,428,2019
Agri - Environmental Sciences,403,419,2019
Food Science,434,467,2019
Human Nutrition,493,510,2019
Forestry,303,361,2019
"Horticulture, Landscape and Sportsturf Management",252,312,2019
Veterinary Medicine - Undergraduate Entry,567,589,2019
Veterinary Medicine - Graduate Entry,,,2019
Veterinary Nursing,441,487,2019
Medicine - Undergraduate Entry (HPAT required),735,745,2019
Medicine - Graduate Entry (GAMSAT required),59,61,2019
Radiography,507,522,2019
Radiography - Graduate Entry,,,2019
Physiotherapy,542,555,2019
Health and Performance Science,488,509,2019
Sport and Exercise Management,436,455,2019
"Biomedical, Health and Life Sciences",565,579,2019
General Nursing,398,420,2019
Children`s and General Nursing (Integrated),462,499,2019
Midwifery,409,452,2019
Mental Health Nursing,379,403,2019
Arts (Two Subjects),336,408,2019
Humanities (options),348,411,2019
Modern Languages (options),348,412,2019
Law (options),520,532,2019
Business and Law,521,543,2019
Commerce,498,510,2019
Commerce International (options),507,531,2019
Economics and Finance,601,601,2019
Social Sciences (options),388,441,2019
Economics,476,488,2019
Psychology,517,531,2019
Social Policy and Sociology,330,366,2019
Accounting and Finance,306,391,2019
Business Studies,300,357,2019
Computing in Games Development,307,369,2019
Computing in Software Development,301,347,2019
Building Surveying,302,349,2019
Architectural Technology,301,366,2019
Construction Management,300,329,2019
Engineering (Common Entry),303,402,2019
Music,499,649,2019
Arts,300,358,2019
Social Care,300,338,2019
Creative Media,300,376,2019
Film and Television Production,300,332,2019
Audio and Music Production,301,346,2019
General Nursing,392,401,2019
Intellectual Disability Nursing,300,317,2019
Mental Health Nursing,356,378,2019
Early Childhood Studies,305,359,2019
Midwifery,398,441,2019
Health and Physical Activity,300,367,2019
Agriculture (Award options),303,358,2019
Science (Award options),300,369,2019
Accounting,303,378,2019
Business,290,347,2019
Business Information Systems,309,373,2019
Marketing and Sales,307,348,2019
Finance and Economics,307,398,2019
Business with Entrepreneurship,297,328,2019
Rural Enterprise and Agri-Business (Mountbellew Campus),280,367,2019
Film and Documentary,287,360,2019
Heritage Studies,238,308,2019
Contemporary Art,260,340,2019
Design,309,377,2019
International Hotel Management,225,289,2019
International Tourism Management,261,290,2019
Culinary and Gastronomic Science,225,316,2019
Event Management with Public Relations,209,289,2019
Retail Management,219,319,2019
Construction Management,260,312,2019
Quantity Surveying and Construction Economics,280,340,2019
Architectural Technology,251,321,2019
Civil Engineering,270,362,2019
Software and Electronic Engineering,301,351,2019
Mechanical Engineering,336,389,2019
Energy Engineering,281,328,2019
Biomedical Engineering,331,383,2019
Agricultural Engineering,301,365,2019
Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),346,406,2019
Applied Freshwater and Marine Biology,300,360,2019
Applied Biology and Biopharmaceutical Science,317,376,2019
Chemical and Pharmaceutical Science,307,346,2019
Physics and Instrumentation,373,378,2019
Science (Undenominated),327,377,2019
Medical Science,451,486,2019
Forensic Science and Analysis,300,366,2019
Computing in Software Development,275,327,2019
Computing and Digital Media,270,327,2019
Agriculture and Environmental Management (Mountbellew Campus),297,339,2019
Sport and Exercise Science,350,379,2019
Public Health Nutrition,364,397,2019
General Nursing - Mayo Campus,389,400,2019
Psychiatric Nursing - Mayo Campus,346,370,2019
Outdoor Education - Mayo Campus,210,298,2019
History and Geography - Mayo Campus,228,296,2019
Applied Social Care - Mayo Campus,260,297,2019
Early Childhood Care and Education - Mayo Campus,278,319,2019
Education (Design Graphics and Construction) - Letterfrack Campus,376,389,2019
Furniture Design and Manufacture - Letterfrack Campus,271,350,2019
Furniture and Wood Technology - Letterfrack Campus,270,352,2019
Arts (Joint-Honours),300,374,2019
Arts (Psychology),507,529,2019
Arts (History),318,358,2019
Na Dána (Gaeilge agus Léann an Aistriúcháin),330,397,2019
Arts (Mathematics and Education),411,487,2019
Arts with Children's Studies,382,409,2019
Arts with Creative Writing,402,472,2019
Arts with Film Studies,338,370,2019
Arts with Human Rights,338,409,2019
Arts with Performing Arts Studies,328,367,2019
"Arts (Drama, Theatre and Performance Studies)",410,451,2019
Journalism,410,475,2019
"Arts (Child, Youth and Family: Policy and Practice)",309,346,2019
Arts (Children's Studies),356,389,2019
Na Dána (Cumarsáid agus Gaeilge),308,399,2019
BSc (Applied Social Sciences),357,388,2019
Arts (Arts with Data Science),434,466,2019
Arts (Digital Arts and Technology),324,379,2019
Arts (English and Media Studies),418,451,2019
Arts (Film and Digital Media),387,435,2019
Arts (Global Languages),370,440,2019
Arts (International),408,477,2019
Arts (Music),400,444,2019
Arts (History and Globalisation Studies),340,431,2019
"Government (Politics, Economics and Law)",402,444,2019
Education (Computer Science and Mathematical  Studies),401,466,2019
Commerce,420,453,2019
Commerce (International) with French,484,513,2019
Commerce (International) with German,489,541,2019
Commerce (International) with Spanish,484,500,2019
Business Information Systems (Work Placement & Optional Int`l Study),431,445,2019
Commerce (Accounting) including optional Global Experience year,486,510,2019
Commerce (Gaeilge),473,488,2019
Commerce (Global Experience),509,531,2019
Law & Business,436,467,2019
Law,473,498,2019
Law & Human Rights,510,521,2019
"Business Studies (International Hotel Management, Shannon)",486,615,2019
"Commerce (International Hotel Management, Shannon)",671,726,2019
Science,400,456,2019
Biomedical Science,533,566,2019
Biotechnology,473,507,2019
Environmental Science,413,440,2019
Financial Mathematics and Economics,454,498,2019
Marine Science,409,456,2019
Environmental Health and Safety,402,435,2019
Earth and Ocean Sciences,402,425,2019
Biopharmaceutical Chemistry,510,532,2019
Mathematical Science,456,531,2019
"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",401,487,2019
Computer Science and Information Technology,425,466,2019
Engineering (Undenominated),444,499,2019
Civil Engineering,509,543,2019
Mechanical Engineering,443,499,2019
Electronic and Computer Engineering,509,547,2019
Biomedical Engineering,519,543,2019
Project and Construction Management,434,464,2019
Energy Systems Engineering,532,589,2019
Electrical and Electronic Engineering,454,487,2019
"Medicine (five year/six year course, HPAT required)",726,731,2019
Occupational Therapy,532,543,2019
Speech and Language Therapy,529,543,2019
Podiatric Medicine,434,463,2019
General Nursing (Galway and Portiuncula),442,466,2019
Mental Health Nursing,388,413,2019
Midwifery,429,468,2019
Business - Accounting,318,399,2019
Business,287,352,2019
Law,300,359,2019
Business - with Spanish/Irish options,298,367,2019
Sports and Exercise (Common Entry),278,330,2019
Design (Common Entry),307,368,2019
Fire Safety Engineering,270,299,2019
Quantity Surveying,307,368,2019
Construction Management,267,291,2019
Mechanical Engineering,304,333,2019
Electronics and Embedded Systems,307,339,2019
Applied Computing,300,348,2019
Science (Common Entry),302,371,2019
Agriculture (Common Entry),300,342,2019
General Nursing,383,390,2019
Psychiatric Nursing,291,332,2019
Intellectual Disability Nursing,288,299,2019
"Early Childhood Care, Health and Education",300,336,2019
Health & Social Care (Common Entry),260,299,2019
Contemporary & Applied Theatre Studies,345,381,2019
Arts (offered in conjunction with the University of Limerick),300,378,2019
Education - Primary Teaching,473,506,2019
Education - Primary Teaching (Gaeltacht Applicants),442,473,2019
Early Childhood Care and Education,366,402,2019
Education and Psychology - Primary Teaching,543,555,2019
"Education, Business Studies and Accounting (Thurles Campus)",392,420,2019
"Education, Business Studies and Religious Studies (Thurles Campus)",326,355,2019
"Education, Irish and Religious Studies (Thurles Campus)",377,387,2019
"Education, Irish and Business Studies (Thurles Campus)",398,440,2019
"Education, Mathematics and Gaeilge (Thurles Campus)",433,465,2019
Counselling and Psychotherapy (Limerick),276,328,2019
"Art and Design (Common Entry, portfolio)",734,918,2019
Fashion and Textiles for Product and Costume (portfolio),900,988,2019
Digital Marketing,254,288,2019
Law and Taxation,308,372,2019
Accounting and Finance,299,382,2019
Marketing and Management,298,337,2019
Enterprise and Innovation,216,298,2019
Software Development,300,371,2019
Interactive Digital Media,219,288,2019
Internet Systems Development,298,319,2019
Computer Networks and Systems Management,335,347,2019
Construction Management,276,303,2019
Property Valuation and Management,292,328,2019
Quantity Surveying,281,360,2019
Built Environment (Common Entry),307,350,2019
Civil Engineering Management,281,331,2019
Clinical Technology,282,359,2019
Forensic and Pharmaceutical Sciences,335,368,2019
Drug and Medicinal Product Analysis,236,299,2019
Electrical Engineering,288,340,2019
Mechanical Engineering,307,360,2019
Precision Engineering,280,369,2019
Social Care Work,360,389,2019
Business Studies with Travel and Tourism Management,299,326,2019
Business Studies with Event Management,271,300,2019
Business Studies with Sports Management,263,298,2019
Community Development,217,269,2019
Business,337,378,2019
Business with Computing,298,326,2019
Interior Design,298,349,2019
Biotechnology and Biopharmaceutical Sciences,379,402,2019
Creative Broadcast and Film Production,298,339,2019
Music Technology and Production,321,369,2019
Renewable and Electrical Energy Engineering,317,368,2019
Industrial Automation & Robotic Systems,321,368,2019
Electronic Engineering,308,346,2019
Automotive Engineering and Transport Management,282,329,2019
Beauty and Spa Management,217,318,2019
Early Childhood Education & Care,260,309,2019
Early Childhood Education & Care (Thurles),298,387,2019
Social Care Work (Thurles),209,290,2019
Environmental and Geographical Sciences (Thurles),262,346,2019
Marketing and Management (Thurles),226,300,2019
Computing - Games Design and Development (Thurles),271,318,2019
Sports Strength and Conditioning (Thurles),288,333,2019
Environmental Management in Agriculture (Thurles),278,347,2019
"Game Art and Design (Clonmel, portfolio)",838,950,2019
Creative Media and Design (Clonmel),229,273,2019
"Digital Animation Production (Clonmel, portfolio)",816,962,2019
Social Care Work (Ennis),319,338,2019
Early Childhood Education & Care (Ennis),346,388,2019
Arts (offered in conjunction with Mary Immaculate College),329,388,2019
Law and Accounting,436,476,2019
Performing Arts (audition required),307,367,2019
Criminal Justice,387,409,2019
