COURSE CODE2,COURSE TITLE,EOS,EOS Mid-point
DC110,Business Studies International,465,488
DC111,Business Studies,488,507
DC112,Global Business (France),510,532
DC113,Global Business (Germany),462,496
DC114,Global Business (Spain),522,545
DC115,Accounting and Finance,510,544
DC116,Global Business (USA),579,601
DC117,Aviation Management / Aviation Management with Pilot Studies,475,500
DC118,Gnó agus Gaeilge / Business and Irish,359,429
DC119,Global Business (Canada),564,577
DC120,Enterprise Computing,357,392
DC121,Computer Applications,400,455
DC123,Data Science,465,531
DC126,Actuarial Mathematics,560,578
DC127,Common Entry into Actuarial and Financial Mathematics,520,543
DC131,Communication Studies,402,451
DC132,Journalism,422,466
DC133,Multimedia,410,451
DC155,Applied Language and Translation Studies,387,444
DC161,Analytical Science,489,510
DC162,Chemical and Pharmaceutical Sciences,521,544
DC166,Environmental Science and Technology,399,441
DC168,Genetics and Cell Biology,510,529
DC175,Physics General Entry (options),402,467
DC181,Biotechnology,495,511
DC190,Electronic and Computer Engineering (with choice of four majors),413,465
DC193,Mechatronic Engineering,411,487
DC195,Mechanical and Manufacturing Engineering,425,487
DC197,Biomedical Engineering,423,477
DC200,Common Entry into Engineering (Undenominated Entry),422,487
DC201,Common Entry into Science (Undenominated Entry),488,499
DC202,Sport Science and Health,498,521
DC203,Science Education,435,487
DC204,Athletic Therapy and Training,519,533
DC205,Physical Education with Biology,531,553
DC206,Physical Education with Mathematics,499,520
DC208,Psychology,521,533
DC209,Health and Society,440,466
DC215,General Nursing,433,462
DC216,Mental Health Nursing,403,424
DC217,Intellectual Disability Nursing,370,390
DC218,Children`s and General Nursing (Integrated),498,522
DC230,"Economics, Politics and Law",435,462
DC231,International Relations,397,433
DC232,Law and Society (BCL),466,496
DC235,Education and Training - Daytime and Flexible Delivery Mode (full-time),309,357
DC238,Social Sciences and Cultural Innovation,377,411
DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",430,473
DC240,"Marketing, Innovation and Technology",474,498
DC291,Arts (Joint Honours) - Media Studies,376,409
DC292,Arts (Joint Honours) - Law,403,430
DC293,Arts (Joint Honours) - International Languages,377,466
DC295,Arts (Joint Honours) - Politics,376,409
DK810,Accounting and Finance,305,401
DK816,Business Studies,300,367
DK820,Computing in Games Development,311,348
DK821,Computing in Software Development,302,361
DK822,Augmented and Virtual Reality,304,380
DK830,Building Surveying,336,352
DK831,Architectural Technology,389,433
DK832,Construction Management,387,419
DK843,Engineering (Common Entry),340,439
DK844,Mechanical Engineering,305,448
DK845,Electrical & Electronic Engineering,304,392
DK846,Civil Engineering,361,392
DK850,International Tourism Management,317,377
DK860,Music (audition),503,634
DK861,Arts,302,363
DK862,Social Care,301,347
DK863,Creative Media,308,337
DK864,Film and Television Production,300,402
DK865,Audio and Music Production,301,367
DK870,General Nursing,397,419
DK872,Intellectual Disability Nursing,336,358
DK874,Mental Health Nursing,356,379
DK876,Early Childhood Studies,321,388
DK877,Midwifery,440,470
DK880,Health and Physical Activity,328,389
DK882,Agriculture (Award options),310,380
DK883,Science (Award options),300,370
DK884,Sustainable Agriculture,,
DK885,Agri-Food Production,,
DK886,Biopharmaceutical Science,301,338
DK887,Environmental Science,330,589
DL821,"English, Media and Cultural Studies",212,347
DL822,Arts Management,235,337
DL823,Business Management,237,325
DL825,Applied Psychology,379,434
DL826,Visual Communication Design,855,1024
DL827,Art,572,941
DL828,"3D Design, Modelmaking and Digital Art",538,920
DL829,Design for Stage and Screen (Costume Design),593,947
DL830,Design for Stage and Screen (Character Makeup Design),939,968
DL831,Design for Stage and Screen (Production Design),781,1026
DL832,Animation,920,1022
DL833,Photography,667,854
DL834,Film and Television Production,990,1040
DL836,Creative Computing,219,300
DL837,New Media Studies,201,316
DL838,Creative Music Production,754,972
DL839,Interaction and User Experience Design,683,990
DL840,Digital Marketing,228,327
DL841,English and Equality Studies,276,341
DN100,Architecture,510,541
DN120,Landscape Architecture,407,453
DN130,City Planning and Environmental Policy,390,432
DN150,Engineering (Common Entry),520,565
DN200,Science (options),533,567
DN201,Computer Science (Common Entry),510,542
DN230,Actuarial and Financial Studies,601,613
DN240,Sustainability,440,498
DN250,Agricultural Science (options),453,488
DN252,Dairy Business,410,455
DN253,Agri - Environmental Sciences,413,443
DN261,Food Science,476,495
DN262,Human Nutrition,531,553
DN271,Forestry,311,359
DN272,"Horticulture, Landscape and Sportsturf Management",282,378
DN300,Veterinary Medicine - Undergraduate Entry,589,602
DN301,Veterinary Medicine - Graduate Entry (GAMSAT required),#,
DN310,Veterinary Nursing,466,489
DN400,Medicine - Undergraduate Entry (HPAT required),736,748
DN401,Medicine - Graduate Entry (GAMSAT required),58,61
DN410,Radiography,531,543
DN411,Radiography - Graduate Entry,#,
DN420,Physiotherapy,568,589
DN425,Health and Performance Science,507,521
DN430,Sport and Exercise Management,433,455
DN440,"Biomedical, Health and Life Sciences",589,601
DN450,General Nursing,421,445
DN451,Children`s and General Nursing (Integrated),499,529
DN452,Midwifery,473,499
DN453,Mental Health Nursing,393,412
DN520,Joint Honours (options),310,409
DN530,Humanities (options),326,419
DN541,Modern Languages (options),300,443
DN600,Law (options),543,566
DN610,Business and Law,544,577
DN650,Commerce,521,543
DN660,Commerce International (options),510,531
DN670,Economics and Finance,613,625
DN700,Social Sciences (options),418,466
DN710,Economics,498,510
DN720,Psychology,522,543
DN750,Social Policy and Sociology,377,408
GA181,Accounting,309,403
GA182,Business,287,347
GA183,Business Information Systems,296,356
GA184,Marketing and Sales,307,357
GA185,Finance and Economics,293,392
GA186,Business with Entrepreneurship,280,356
GA187,Rural Enterprise and Agri-Business,281,352
GA281,Film and Documentary,304,379
GA282,Heritage Studies,220,281
GA283,Contemporary Art,679,870
GA284,Design,303,356
GA285,"Education (Art, Design and Graphics)",,
GA380,International Hotel Management,242,330
GA381,International Tourism Management,278,350
GA382,Culinary and Gastronomic Science,206,337
GA384,Event Management with Public Relations,212,328
GA480,Construction Management,260,336
GA482,Quantity Surveying and Construction Economics,288,350
GA483,Architectural Technology,265,337
GA484,Civil Engineering,290,383
GA580,Software and Electronic Engineering,300,393
GA680,Mechanical Engineering,330,401
GA681,Energy Engineering,293,366
GA682,Biomedical Engineering,313,393
GA683,Agricultural Engineering,309,385
GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),340,405
GA685,Manufacturing Engineering Design,309,379
GA780,Applied Freshwater and Marine Biology,327,377
GA781,Applied Biology and Biopharmaceutical Science,337,390
