Code,Title,Points1_2019,Points2_2019,Mid_2019,Points1_2020,Points2_2020,Mid_2020,Points1_2021,Points2_2021,Mid_2021
MI010,"Education, Business Studies and Religious Studies",326,,355,368,,389.0,370,,412.0
MI011,"Education, Irish and Religious Studies (Thurles Campus)",377,,387,409,,451.0,407,,444.0
MI012,"Education, Irish and Business Studies (Thurles Campus)",398,,440,401,,463.0,387,,451.0
MI013,"Education, Mathematics and Gaeilge",433,,465,444,,477.0,509,,543.0
MI014,"Education, Mathematics and Business Studies",,,,434,,487.0,476,,531.0
MU001,Theology and Arts,290,,318,290,290,349.0,294,294.0,332.0
MU002,Theology,292,,377,440,,440.0,,,411.0
NC003,Computing (Degree Award options),261,,316,260,,303.0,271,,334.0
NC005,Human Resource Management,297,,320,300,,331.0,301,,360.0
NC009,Business,297,,339,300,,346.0,300,,371.0
NC010,Psychology,366,,399,400,,440.0,420,,465.0
NC020,Marketing Practice,270,,307,280,,338.0,270,,329.0
NC022,Accounting and Finance,338,,376,337,,378.0,330,,390.0
NC023,Technology Management (with specialisations),260,,303,261,,282.0,266,,356.0
NC025,Data Science,297,,371,,,,,,
NC030,Early Childhood Education and Care,,,,,,,251,251.0,308.0
NM801,Montessori Education,,,,220,,290.0,262,,320.0
NM802,Psychology,,,,,,,228,,338.0
PC405,"Social, Political and Community Studies",251,,296,253,216,311.0,263,235.0,298.0
PC410,Arts and Humanities (fulfils Teaching Council requirements),203,,289,252,209,300.0,262,230.0,336.0
PC411,English and History (fulfils Teaching Council requirements),168,,289,255,209,310.0,243,224.0,356.0
RC001,Medicine - Undergraduate Entry (HPAT required),729,,733,733,,738.0,741,740.0,741.0
RC004,Physiotherapy,532,,542,566,,567.0,589,589.0,589.0
RC005,Pharmacy,555,,566,579,,589.0,613,613.0,613.0
RC101,Medicine - Graduate Entry (GAMSAT required),60,,62,,,63.0,,,66.0
SG141,Business,252,,317,261,,347.0,262,,346.0
SG142,Business in International Marketing and Languages (French),270,,388,279,,386.0,,,
SG144,Business in International Marketing and Languages (Spanish),280,,388,270,,347.0,,,
SG145,Business and ICT,,,,,,,279,,411.0
SG146,Accounting,307,,347,309,,411.0,304,,403.0
SG147,Sport with Business,269,,316,307,,367.0,288,,340.0
SG148,Tourism with Event Management,246,,282,269,,340.0,298,,328.0
SG149,Business in Finance and Investment,262,,357,,,,,,
SG150,Business in Marketing,,,,,,,298,,360.0
SG241,Performing Arts,279,,348,328,,387.0,341,,393.0
SG242,Early Childhood Care and Education,278,,318,279,,319.0,287,,368.0
SG243,Social Care Practice,297,,338,301,,346.0,309,,357.0
SG244,Fine Art,355,,496,505,,505.0,501,,643.0
SG245,Creative Design,261,,338,282,,339.0,332,,357.0
SG246,Computing,295,,368,290,,333.0,316,,402.0
SG247,English and Psychology,308,,336,309,,382.0,319,,357.0
SG248,Sociology and Politics,282,,320,281,,327.0,298,,328.0
SG249,Writing and Literature,279,,338,297,,368.0,308,,409.0
SG250,Application Design and User Experience,290,,431,412,,412.0,,,
SG251,Computing (Smart Technologies),303,,391,327,,367.0,,,
SG252,Software Development,300,,354,307,,319.0,310,,413.0
SG253,Computer Networks and Cloud Infrastructure,273,,341,324,,378.0,336,,374.0
SG254,Writing and Literature Online,,,,225,225,328.0,327,,393.0
SG255,Law and Business,,,,,,,291,,398.0
SG341,General Engineering,,,,,,,373,,467.0
SG342,Civil Engineering,,,,415,,480.0,418,,498.0
SG343,Quantity Surveying,261,,302,311,,367.0,300,,385.0
SG344,Mechanical Engineering,,,,,,,412,,509.0
SG346,Construction Project Management and Applied Technology,289,,351,291,,337.0,313,,362.0
SG347,Architecture,309,,357,360,,411.0,403,,462.0
SG348,Interior Architecture and Design,,,,316,,368.0,359,,410.0
SG349,Electronics and Self Driving Technologies,,,,,,,,,0.0
SG350,Robotics and Automation,,,,,,,384,,478.0
SG441,Environmental Science,297,,358,,,,,,
SG442,Occupational Safety and Health,289,,330,290,,367.0,307,,360.0
SG443,Human Nutrition,357,,419,356,,397.0,376,,440.0
SG444,Science Undenominated,308,,369,338,,420.0,358,,430.0
SG445,Pharmaceutical Science with Drug Development,347,,369,311,,367.0,357,,401.0
SG446,Applied Archaeology,289,,290,,,,,,
SG447,Health Science and Physical Activity,316,,363,328,,387.0,326,,389.0
SG448,Forensic Investigation and Analysis,306,,348,306,,368.0,308,,376.0
SG449,Medical Biotechnology,329,,352,341,,395.0,315,,403.0
SG450,Environmental Science with Ecology (Level 8),,,,300,,368.0,310,,430.0
TA022,Creative Digital Media,260,,318,,,,,,
TA023,Advertising and Marketing Communications,235,,299,,,,,,
TA024,Early Childhood Care and Education,217,,307,,,,,,
TA025,Social Care Practice,261,,297,,,,,,
TA026,International Hospitality and Tourism Management,208,,269,,,,,,
TA027,Botanical Cuisine,236,,273,,,,,,
TA028,Digital Marketing Technologies,220,,313,,,,,,
TA121,Accounting and Finance,202,,328,,,,,,
TA122,Management,218,,297,,,,,,
TA123,Marketing Management,207,,284,,,,,,
TA125,International Business,229,,300,,,,,,
TA221,Electronic Engineering,251,,321,,,,,,
TA222,Mechanical Engineering,243,,302,,,,,,
TA223,Sustainable Energy Engineering,236,,305,,,,,,
TA224,Biomedical Design,218,,324,,,,,,
TA225,Automation Engineering,235,,288,,,,,,
TA226,Engineering Software,243,,304,,,,,,
TA321,Pharmaceutical Science,261,,298,,,,,,
TA322,Computing,200,,294,,,,,,
TA323,Computing with IT Management,243,,309,,,,,,
TA326,DNA and Forensic Analysis,300,,362,,,,,,
TA327,Sports Science and Health,341,,381,,,,,,
TA328,Computing with Language (French/German/Spanish),218,,317,,,,,,
TA329,Computing with Data Analytics,218,,296,,,,,,
TL801,"Animation, Visual Effects and Motion Design (Level 8)",281,,341,281,,349.0,718,,823.0
TL802,"TV, Radio and New Media (Level 8)",306,,356,325,,397.0,322,,413.0
TL803,Music Technology,264,,288,,,,,,
TL810,Computing with Software Development,309,,341,310,,389.0,308,,399.0
TL811,Computing with Games Development,310,,334,358,,,322,,342.0
TL812,Computing with Digital Media,369,,369,,,,,,
TL815,Computing (Degree Award options),308,,378,308,,360.0,307,,453.0
TL823,Event Management (3 year programme),291,,346,299,,369.0,293,,369.0
TL831,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),307,,372,306,,381.0,306,,408.0
TL842,Construction Management,,,,,,,,,0.0
TL844,Agricultural Engineering,311,,368,300,,373.0,301,,392.0
TL845,Civil Engineering,300,,364,325,,413.0,361,,395.0
TL847,Manufacturing Engineering,,,,302,,368.0,305,,338.0
TL848,Agricultural Science,331,,362,308,,380.0,307,,367.0
TL851,Wildlife Biology (Degree Award options),310,,362,309,,383.0,309,,400.0
TL855,Pharmaceutical Science (Degree Award options),342,,386,317,,369.0,316,,419.0
TL858,Veterinary Bioscience,326,,369,308,,393.0,317,,402.0
TL871,Health and Leisure (Degree Award options),303,,346,300,,379.0,303,,389.0
TL872,Health and Leisure with Massage,288,,357,309,,408.0,314,,381.0
TL873,Coaching and Sports Performance,282,,336,289,,329.0,308,,371.0
TL874,Inclusive Sport and Physical Activity,,,,,,,341,,476.0
TL880,Early Childhood Care and Education,307,,347,307,,349.0,309,,369.0
TL881,Social Care,308,,356,308,,362.0,301,,377.0
TL889,Counselling with Addiction - Mature applicants only,,,,,,,,,0.0
TL890,General Nursing and Mature Applicants,407,,431,440,414,441.0,463,,484.0
TL891,Mental Health Nursing and Mature Applicants,367,,379,389,378,399.0,440,419.0,430.0
TR002,Music,414,,473,435,429,468.0,508,477.0,513.0
TR003,History,486,,518,497,493,511.0,552,543.0,558.0
TR004,Law,532,,552,566,565,578.0,590,589.0,601.0
TR005,Philosophy,391,,446,442,,476.0,510,497.0,510.0
TR006,Psychology,555,,577,567,555,578.0,601,590.0,602.0
TR007,Clinical Speech and Language Studies,499,,529,529,,553.0,564,,577.0
TR009,Music Education,430,,465,420,,532.0,496,486.0,530.0
TR012,History and Political Science,532,,557,555,554,578.0,,,
TR015,"Philosophy, Political Science, Economics and Sociology",566,,577,589,,601.0,613,613.0,625.0
TR016,Deaf Studies,337,,372,340,,377.0,389,,440.0
TR017,Law and Business,576,,589,602,,613.0,,,
TR018,Law and French,532,,554,565,,589.0,602,602.0,613.0
TR019,Law and German,523,,555,543,542,566.0,577,567.0,588.0
TR020,Law and Political Science,567,,600,602,,613.0,,,
TR021,"Classics, Ancient History and Archaeology",377,,495,370,,434.0,467,462.0,501.0
TR022,Early and Modern Irish,347,,407,398,,451.0,377,,473.0
TR023,English Studies,463,,511,487,476,511.0,546,541.0,555.0
TR024,European Studies,520,,544,544,542,566.0,566,,589.0
TR025,Drama and Theatre Studies,489,,531,564,530,581.0,543,519.0,552.0
TR028,Ancient and Medieval History and Culture,339,,451,342,,453.0,498,463.0,474.0
TR029,Political Science and Geography,477,,500,526,520,533.0,,,
TR031,Mathematics,566,,589,531,,589.0,579,578.0,613.0
TR032,Engineering,487,,520,510,509,533.0,556,555.0,581.0
TR033,Computer Science,465,,488,509,,545.0,566,549.0,578.0
TR034,Management Science and Information Systems Studies,589,,602,613,,625.0,625,625.0,625.0
TR035,Theoretical Physics,554,,601,543,,601.0,590,589.0,613.0
TR038,Engineering with Management,499,,543,532,,556.0,589,589.0,613.0
TR039,Computer Science and Language,435,,498,454,424,488.0,443,,531.0
TR040,Middle Eastern and European Languages and Cultures,485,,518,466,,521.0,520,499.0,531.0
TR041,Religion,347,,393,368,,418.0,417,,476.0
TR042,Film,,,,489,476,498.0,531,522.0,532.0
TR043,History of Art and Architecture,,,,393,354,474.0,498,486.0,519.0
TR051,Medicine (HPAT required),730,,739,735,734,745.0,743,743.0,751.0
TR052,Dental Science,590,,602,613,613,625.0,625,625.0,625.0
TR053,Physiotherapy,533,,544,566,566,567.0,590,,601.0
TR054,Occupational Therapy,500,,520,533,,554.0,578,577.0,589.0
TR055,Radiation Therapy,510,,521,543,,554.0,577,566.0,577.0
TR056,Human Health and Disease,543,,565,565,,578.0,601,,613.0
TR060,Biological and Biomedical Sciences,510,,542,543,543,566.0,578,577.0,590.0
TR061,Chemical Sciences,488,,520,517,510,532.0,558,554.0,564.0
TR062,Geography and Geoscience,435,,485,473,,499.0,495,,531.0
TR063,Physical Sciences,498,,543,498,498,531.0,554,543.0,566.0
TR064,Environmental Science and Engineering,,,,,,,555,,578.0
TR072,Pharmacy,555,,577,590,,613.0,613,613.0,625.0
TR080,Global Business,565,,577,589,,601.0,613,,625.0
TR081,"Business, Economic and Social Studies (BESS)",518,,542,543,543,565.0,577,567.0,589.0
TR082,Computer Science and Business,510,,542,555,,578.0,,,
TR083,Sociology and Social Policy,451,,474,498,487,513.0,,,
TR084,Social Studies (Social Work),420,,462,462,,495.0,497,487.0,508.0
TR085,Business Studies and French,509,,553,540,531,543.0,564,,577.0
TR086,Business Studies and German,474,,495,509,499,518.0,530,,533.0
TR087,Business Studies and Russian,467,,487,474,465,488.0,487,,521.0
TR089,Business Studies and Polish,393,,434,444,424,468.0,391,,432.0
TR090,Business Studies and Spanish,510,,543,531,,542.0,566,,589.0
TR091,General Nursing (Meath and St James`s),393,,420,429,,455.0,462,456.0,487.0
TR093,General Nursing (Adelaide School of Nursing),378,,409,430,429,441.0,473,,484.0
TR095,Mental Health Nursing,358,,377,408,,430.0,442,,455.0
TR097,Intellectual Disability Nursing,346,,350,396,,398.0,412,410.0,419.0
TR111,Ancient History and Archaeology/Geography,,,,352,,429.0,496,,530.0
TR112,Ancient History and Archaeology/History,,,,529,,,577,,577.0
TR113,Ancient History and Archaeology/History of Art and Architecture,,,,337,,477.0,528,,541.0
TR114,Ancient History and Archaeology/Modern Language,,,,337,,420.0,507,,512.0
TR117,Ancient History and Archaeology/Religion,,,,342,,368.0,494,,625.0
TR166,Classical Civilisation/English Literature,,,,498,496,523.0,552,,567.0
TR173,Classical Civilisation/History of Art and Architecture,,,,335,,466.0,420,,487.0
TR177,Classical Civilisation/Modern Language,,,,335,,536.0,484,,543.0
TR179,Classical Civilisation/Philosophy,,,,499,,518.0,508,,522.0
TR188,Computer Science/Business Studies,,,,,,,584,,602.0
TR198,Economics/Geography,,,,534,,552.0,968,956.0,
TR202,Economics/History,,,,534,,566.0,601,,625.0
TR207,Economics/Mathematics,,,,566,,601.0,613,,625.0
TR208,Economics/Modern Language,,,,534,,578.0,589,,611.0
TR209,Economics/Philosophy,,,,534,,576.0,588,,611.0
TR212,Economics/Sociology,,,,534,,541.0,589,,606.0
TR214,Social Policy/Economics,,,,,,,611,,611.0
TR228,Classical Languages/English Literature,,,,498,,533.0,555,,583.0
TR230,Classical Languages/Linguistics,,,,,,,501,,501.0
TR231,Classical Languages/History of Art and Architecture,,,,349,,444.0,613,,613.0
TR233,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",,,,349,,566.0,583,,583.0
TR239,Classical Languages/Modern Language,,,,349,,349.0,543,,558.0
TR240,Computer Science/Geography,,,,,,,482,,541.0
TR241,Computer Science/Linguistics,,,,,,,495,,532.0
TR262,English Literature/History,,,,529,,552.0,576,,600.0
TR263,English Literature/History of Art and Architecture,,,,498,497,533.0,571,,576.0
TR269,English Literature/Philosophy,,,,499,,532.0,555,,584.0
TR272,English Literature/Sociology,,,,498,,519.0,553,,567.0
TR276,English Literature/Drama Studies,,,,498,,530.0,555,,589.0
TR277,English Literature/Modern Language,,,,498,495,543.0,554,,586.0
TR311,Film/Drama Studies,,,,521,,557.0,578,,578.0
TR312,Film/English Literature,,,,521,,541.0,576,,590.0
TR320,Film/Music,,,,521,,555.0,584,,601.0
TR322,Geography/History,,,,529,,555.0,578,,613.0
TR323,Drama Studies/Modern Language,,,,473,,551.0,495,,589.0
TR324,Film/Modern Language,,,,521,,544.0,577,,589.0
TR325,Film/History,,,,529,,625.0,578,,613.0
TR326,Geography/Modern Language,,,,352,,440.0,451,,500.0
TR328,Political Science/Geography,,,,,,,564,,590.0
TR332,Geography/Sociology,,,,498,496,520.0,522,,554.0
TR443,History/History of Art and Architecture,,,,529,,532.0,581,,613.0
TR447,History/Modern Language,,,,529,,554.0,576,,576.0
TR449,History/Philosophy,,,,529,,543.0,579,,590.0
TR452,History/Sociology,,,,529,,534.0,,,
TR454,History/Religion,,,,529,,534.0,,,
TR455,History of Art and Architecture/Modern Language,,,,334,,454.0,451,,512.0
TR457,History/Political Science,,,,,,,576,,590.0
TR479,History of Art and Architecture/Philosophy,,,,499,,555.0,509,,531.0
TR482,Sociology/History of Art and Architecture,,,,,,,522,,541.0
TR547,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",,,,337,,473.0,543,,543.0
TR548,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",,,,335,,543.0,544,,544.0
TR554,"Middle Eastern,Jewish and Islamic Civilisations/History",,,,529,,555.0,576,,580.0
TR563,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",,,,335,,451.0,590,,590.0
TR564,"Middle Eastern,Jewish and Islamic Civilisations/Music",,,,,,,,,
TR565,"Middle Eastern,Jewish and Islamic Civilisations/Religion",,,,342,,,999,949.0,
TR580,Business Studies/Law,,,,,,,625,,625.0
TR581,History/Law,,,,,,,625,,625.0
TR582,Political Science/Law,,,,,,,625,,625.0
TR587,"Middle Eastern,Jewish and Islamic Civilisations/Linguistics",,,,,,,,,
TR588,Linguistics/Modern Language,,,,,,,456,,519.0
TR589,Linguistics/Philosophy,,,,,,,520,,553.0
TR592,"Sociology/Middle Eastern,Jewish and Islamic Civilisations",,,,,,,531,,539.0
TR597,Mathematics/Modern Language,,,,566,,625.0,613,,613.0
TR598,Mathematics/Music,,,,566,,,625,,625.0
TR599,Mathematics/Philosophy,,,,566,,589.0,625,,625.0
TR629,Music/Philosophy,,,,499,,,533,,533.0
TR635,Music/Drama Studies,,,,473,,487.0,532,,532.0
TR636,Music/Modern Language,,,,388,,455.0,530,,555.0
TR638,Music/Religion,,,,388,,440.0,,,
TR639,Philosophy/Modern Language,,,,499,,613.0,520,,540.0
TR662,Philosophy/Sociology,,,,499,,531.0,531,,542.0
TR663,Religion/Classical Civilisation,,,,342,,591.0,418,,442.0
TR664,Religion/English Literature,,,,498,,565.0,968,,
TR665,Religion/History of Art and Architecture,,,,342,,452.0,369,,494.0
TR666,Religion/Modern Language,,,,,,,,,
TR667,French/Modern Language,,,,403,,478.0,466,,508.0
TR668,German/Modern Language,,,,389,,465.0,441,,521.0
TR669,Irish/Modern Language,,,,368,,473.0,464,,533.0
TR670,Italian/Modern Language,,,,381,,466.0,462,,498.0
TR671,Russian/Modern Language,,,,332,,494.0,501,,525.0
TR672,Spanish/Modern Language,,,,336,,488.0,486,,552.0
TR755,Sociology/Drama Studies,,,,498,,543.0,,,
TR756,Sociology/Modern Language,,,,498,495,510.0,522,,545.0
TR757,Modern Language/Social Policy,,,,,,,555,,566.0
TR758,Social Policy/Political Science,,,,,,,566,,597.0
TR759,Sociology/Social Policy,,,,,,,554,,579.0
TR911,Children`s and General Nursing (Integrated),476,,487,511,510,521.0,531,,544.0
TR913,Midwifery,423,,462,478,477,508.0,521,,543.0
TU801,Biomedical Design,,,,235,,381.0,235,,329.0
TU802,Electrical Services and Energy Management,,,,317,300,352.0,309,,359.0
TU803,Electronic Engineering,,,,243,243,337.0,,,
TU804,Engineering (Common Entry with Award options),,,,271,,338.0,270,,361.0
TU805,Engineering (General Entry),,,,402,,466.0,466,465.0,499.0
TU806,Sustainable Energy Engineering,,,,262,,318.0,,,
TU807,Computer Engineering in Mobile Systems,,,,276,,305.0,274,,339.0
TU808,Engineering Software,,,,260,260,339.0,,,
TU809,Mechanical Engineering,,,,235,,347.0,,,
TU810,Mechatronic Engineering,,,,270,,312.0,271,,399.0
TU811,Product Design,,,,411,,444.0,440,434.0,479.0
TU812,"Design,Technology and Innovation",,,,270,,350.0,278,,335.0
TU813,Automation Engineering,,,,218,218,339.0,,,
TU814,Transport Operations and Technology,,,,285,251,372.0,253,253.0,349.0
TU828,Mechanical Engineering (General Entry),,,,,,,300,,386.0
TU829,Electronic Engineering (General Entry),,,,,,,248,248.0,354.0
TU831,Architectural Technology,,,,410,,444.0,423,,455.0
TU832,Architecture (Suitability Test and Interview),,,,622,,658.0,644,638.0,682.0
TU833,Construction Management,,,,367,,404.0,396,,429.0
TU834,Geographic Science,,,,288,,357.0,315,,370.0
TU835,Planning and Environmental Management,,,,313,,349.0,330,,393.0
TU836,Property Economics (Valuation Surveying),,,,401,,433.0,411,,444.0
TU837,Quantity Surveying and Construction Economics,,,,385,,418.0,413,,455.0
TU838,Sustainable Timber Technology,,,,,,,307,271.0,385.0
TU851,Analytical Chemistry (Environmental Forensic and Pharmaceutical),,,,349,,419.0,400,,464.0
TU852,Chemical Sciences with Medicinal Chemistry,,,,476,,498.0,477,,499.0
TU854,Science (General Entry),,,,476,,495.0,510,,532.0
TU855,Science with Nanotechnology,,,,331,319,368.0,322,,382.0
TU856,Computer Science,,,,476,,487.0,499,,531.0
TU857,Computer Science (Infrastructure),,,,391,,419.0,403,,443.0
TU858,Computer Science (International),,,,377,,424.0,395,,444.0
TU859,Computing,,,,217,234,308.0,251,,336.0
TU860,Computing (Information Technology),,,,260,,329.0,270,,356.0
TU861,Computing with Language (French/German/Spanish),,,,308,308,348.0,235,235.0,370.0
TU862,Computing with Artificial Intelligence Machine Learning,,,,226,226,288.0,262,,310.0
TU863,Digital Forensics and Cyber Security,,,,280,,338.0,282,,346.0
TU864,DNA and Forensic Analysis,,,,400,390,429.0,500,441.0,465.0
TU865,Cloud Computing,,,,226,,331.0,235,,308.0
TU866,Biomedical and Molecular Diagnostics,,,,487,,498.0,522,,540.0
TU867,Biomedical Science,,,,524,,542.0,576,566.0,578.0
TU868,Clinical Measurement Science,,,,510,,520.0,542,,554.0
TU869,Environmental Health,,,,336,,375.0,387,,434.0
TU870,Human Nutrition and Dietetics,,,,578,,589.0,601,,613.0
TU871,Optometry,,,,509,,530.0,532,,544.0
TU872,Public Health Nutrition,,,,491,,512.0,487,,521.0
TU873,Industrial Mathematics,,,,250,250,392.0,,,
TU874,Mathematical Sciences,,,,341,,407.0,294,294.0,434.0
TU875,Pharmaceutical Healthcare,,,,400,,440.0,451,,477.0
TU876,Pharmaceutical Science,,,,377,349,391.0,445,,474.0
TU877,Physics Technology,,,,308,,373.0,314,314.0,422.0
TU878,Physics with Energy and Environment,,,,337,337,444.0,339,,408.0
TU879,Physics with Medical Physics and Bioengineering,,,,351,,403.0,346,,430.0
TU880,Physics with Data Science,,,,578,,,412,,532.0
TU881,Food Innovation,,,,318,,389.0,309,,423.0
TU882,Nutraceuticals in Health and Nutrition,,,,397,,442.0,380,,447.0
TU901,Business,,,,270,,307.0,,,
TU902,Business (options),,,,271,,359.0,270,,327.0
TU903,Business and Management,,,,463,,485.0,477,,509.0
TU904,Business and Law,,,,462,,487.0,462,,486.0
TU905,Economics and Finance,,,,465,,488.0,460,,488.0
TU906,Human Resource Management,,,,395,,414.0,386,377.0,412.0
TU907,Logistics and Supply Chain Management,,,,300,,387.0,300,,367.0
TU908,Management,,,,262,253,337.0,,,
TU909,Accounting and Finance,,,,285,,326.0,,,
TU910,Accounting and Finance,,,,444,,466.0,420,,462.0
TU911,Accounting and Finance,,,,209,192,319.0,,,
TU912,Business Analytics,,,,330,,366.0,331,311.0,367.0
TU913,Business and Information Technology,,,,252,,299.0,,,
TU914,Business Computing,,,,324,,366.0,322,,377.0
TU915,International Business,,,,252,,302.0,,,
TU916,International Business,,,,235,235,337.0,,,
TU917,Law (LLB ) with a Language,,,,342,,433.0,356,,451.0
TU918,Law (LLB),,,,451,,478.0,463,,499.0
TU919,Advertising and Marketing Communications,,,,228,226,311.0,219,,327.0
TU920,Digital Marketing,,,,270,,318.0,270,,339.0
TU921,Digital Marketing Technologies,,,,212,212,300.0,230,,298.0
TU922,Marketing,,,,418,,443.0,412,,446.0
TU923,Marketing Management,,,,228,276,318.0,,,
TU924,E-Commerce in Retailing,,,,307,,380.0,307,,380.0
TU925,Retail and Services Management,,,,301,,362.0,307,,368.0
TU932,Business (options),,,,,,,211,,337.0
TU933,Accounting and Finance (campus options),,,,,,,251,,346.0
TU935,Sports Management and Coaching,,,,300,,347.0,300,,368.0
TU936,Sports Science and Health,,,,410,391,419.0,484,,498.0
TU941,Botanical Cuisine,,,,249,,257.0,311,,380.0
TU942,Culinary Arts,,,,212,212,340.0,252,,348.0
TU943,Culinary Entrepreneurship,,,,278,,357.0,261,,387.0
TU944,Culinary Science,,,,316,,379.0,336,,393.0
TU951,International Hospitality and Tourism Management,,,,184,184,298.0,244,,316.0
TU952,International Hospitality Management,,,,300,,368.0,309,,398.0
TU953,Tourism and Digital Marketing,,,,290,,359.0,308,,366.0
TU954,Event Management,,,,356,,404.0,326,,402.0
TU955,Sports and Leisure Management,,,,217,317,347.0,275,,349.0
TU961,Commercial Modern Music (BIMM - assessment/audition),,,,608,608,848.0,536,536.0,881.0
TU962,"Drama (Performance, audition)",,,,379,,500.0,448,,551.0
TU963,Music (audition),,,,416,,535.0,364,,561.0
TU965,International Business and Languages,,,,356,346,413.0,357,,442.0
TU966,Languages and English Studies,,,,366,,466.0,,,
TU967,Languages and International Tourism,,,,308,,388.0,298,,390.0
TU971,Contemporary Visual Culture,,,,290,,320.0,,,
TU972,Creative and Cultural Industries,,,,281,,369.0,,,
TU973,Design - Visual Communication,,,,717,,865.0,700,,953.0
TU974,Fine Art (portfolio),,,,709,563,826.0,549,,704.0
TU975,Interior Design (portfolio),,,,632,,879.0,544,,919.0
TU976,Photography (portfolio),,,,695,,926.0,700,,952.0
TU978,Creative Industries and Visual Culture,,,,,,,299,,440.0
TU981,Creative Digital Media,,,,280,,318.0,280,,347.0
TU982,Media Production and Digital Arts,,,,320,311,352.0,369,,412.0
TU983,Film and Broadcasting,,,,456,451,484.0,462,453.0,496.0
TU984,Game Design,,,,381,,419.0,414,,455.0
TU985,Journalism,,,,322,,377.0,367,,409.0
TU986,Print Media Technology and Management,,,,289,,300.0,,,
TU989,Early Childhood Care and Education (campus options),,,,,,,270,,337.0
TU991,Applied Social Studies in Social Care,,,,325,,352.0,326,,356.0
TU992,Community Development and Youth Work,,,,251,,297.0,251,,311.0
TU993,Early Childhood Care and Education,,,,270,,311.0,,,
TU994,Early Childhood Care and Education,,,,321,251,304.0,,,
TU995,Early Childhood Education,,,,367,,409.0,378,,412.0
TU996,Social Care,,,,400,,419.0,407,,440.0
TU997,Applied Social Care,,,,310,283,318.0,320,,368.0
WD001,Applied Computing (options),279,,358,260,260,413.0,270,261.0,423.0
WD002,Science (options),302,,377,308,,388.0,279,,388.0
WD005,Health Sciences (options),288,,347,280,,338.0,271,,368.0
WD006,Exercise Sciences (options),282,,337,280,,359.0,270,,357.0
WD007,Engineering (options),287,,382,288,288,409.0,270,270.0,432.0
WD025,Construction Management and Engineering,269,,327,269,,341.0,262,,357.0
WD027,Music,290,,317,262,,409.0,321,,437.0
WD048,Business (options),278,,357,271,,371.0,279,,387.0
WD084,Accounting,307,,403,308,,411.0,308,,476.0
WD091,Hospitality Management,210,,281,228,,310.0,225,,337.0
WD116,General Nursing,413,,430,422,,451.0,446,,473.0
WD117,Psychiatric Nursing,361,,382,366,,388.0,415,,430.0
WD120,Intellectual Disability Nursing,338,,359,377,,388.0,390,,404.0
WD134,International Business,289,,350,290,,362.0,267,,368.0
WD137,Design (Visual Communications),253,,373,271,,351.0,252,,360.0
WD140,Laws,290,,352,280,,367.0,280,,394.0
WD144,Architecture,283,,385,284,,359.0,309,,401.0
WD147,Pharmaceutical Science,298,,363,293,,390.0,288,,402.0
WD148,Tourism Marketing,269,,338,,,,,,
WD149,Early Childhood Studies,288,,336,271,,368.0,,,
WD150,Criminal Justice Studies,271,,311,270,,331.0,280,,359.0
WD152,Visual Art,253,,323,,,317.0,243,,359.0
WD161,Computer Forensics and Security,262,,401,255,,380.0,270,,347.0
WD162,Quantity Surveying,260,,320,216,,306.0,226,,337.0
WD163,Psychology,390,,429,434,,473.0,456,,487.0
WD186,Sports Coaching and Performance,276,,327,270,,344.0,261,,358.0
WD187,Social Science,271,,321,272,,348.0,276,,367.0
WD191,Agricultural Science,378,,421,377,,420.0,377,,434.0
WD192,Social Care Practice,279,,323,270,,326.0,271,,336.0
WD193,Marketing and Digital Media,290,,358,271,,347.0,279,,358.0
WD194,Culinary Arts,235,,331,217,,321.0,237,,321.0
WD195,Architectural and Building Information Modelling Technology,266,,305,279,,367.0,279,,367.0
WD200,Arts (options),221,,296,,,336.0,201,201.0,376.0
WD210,Software Systems Development,271,,329,279,,337.0,260,,373.0
WD211,Creative Computing,275,,322,271,,318.0,270,,392.0
WD212,Recreation and Sport Management,274,,311,270,,349.0,262,,304.0
WD230,Mechanical and Manufacturing Engineering,273,,348,253,,369.0,230,230.0,361.0
WD231,Early Childhood Care and Education,,,,,,,266,,366.0
WD232,Business Information Systems,,,,,,,261,261.0,329.0
