Code,Title,Points1_2019,Points2_2019,Mid_2019,Points1_2020,Points2_2020,Mid_2020,Points1_2021,Points2_2021,Mid_2021
DB515,Business Studies (Human Resource Management),225,,288,244,244,326.0,242,217.0,318.0
DB516,Financial Services,328,,336,,,,,,
DB517,Event Management,226,,327,238,,309.0,233,225.0,336.0
DB518,Marketing (Digital Media),210,,289,,,,307,209.0,354.0
DB521,Accounting and Finance,225,,271,225,195,318.0,243,228.0,379.0
DB524,Business (Information Systems),402,,402,342,309,409.0,247,239.0,327.0
DB525,Marketing (Digital Media and Cloud Computing),284,,309,,,,288,288.0,337.0
DB526,Business (Cloud Computing),253,,288,347,,423.0,244,244.0,327.0
DB527,Applied Social Care,235,,288,234,260,306.0,254,219.0,308.0
DB531,Marketing,220,,288,293,,336.0,288,176.0,368.0
DB562,Psychology,208,,310,243,229,322.0,244,233.0,342.0
DB566,Social Science,216,,308,220,227,290.0,262,228.0,319.0
DB567,Film,192,,295,218,202,290.0,245,213.0,298.0
DB568,Law,245,,308,219,252,309.0,254,228.0,347.0
DB569,Business (Psychology),279,,338,252,,284.0,240,240.0,338.0
DC001,Education - Early Childhood Education,398,,424,440,,462.0,445,,474.0
DC002,Education - Primary Teaching,462,,485,488,,520.0,518,,543.0
DC003,Education - Primary Teaching - Gaeltacht Applicants,433,,473,445,,462.0,489,,509.0
DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),357,,,411,409,463.0,451,,
DC005,Education - Primary Teaching - Irish Sign Language,316,,316,,,,,,
DC009,Arts (Joint Honours) - Humanities,347,,408,376,,423.0,356,,431.0
DC010,Post Primary Teacher Education - Religious Education and English,386,,413,441,429,465.0,384,,441.0
DC011,Post Primary Teacher Education - Religious Education and History,352,,389,412,391,429.0,409,,455.0
DC012,Post Primary Teacher Education - Religious Education and Music,367,,415,378,,420.0,409,,451.0
DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,410,,509,419,,487.0,413,,510.0
DC014,BA in Jazz and Contemporary Music Performance (audition),428,,590,419,,605.0,311,,634.0
DC110,Business Studies International,440,,462,465,,488.0,498,,526.0
DC111,Business Studies,463,,479,488,,507.0,511,,532.0
DC112,Global Business (France),495,,510,517,510,532.0,542,,564.0
