Code,Title,Points1,Points2,Year,Duplicate?
DC011,Post Primary Teacher Education - Religious Education and History,352,389,2019,0
DC012,Post Primary Teacher Education - Religious Education and Music,367,415,2019,0
DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,410,509,2019,0
DC014,BA in Jazz and Contemporary Music Performance,428,590,2019,0
DC110,Business Studies International,440,462,2019,0
DC111,Business Studies,463,479,2019,0
DC112,Global Business (France),495,510,2019,0
DC113,Global Business (Germany),440,476,2019,0
DC114,Global Business (Spain),501,543,2019,0
DC115,Accounting and Finance,487,500,2019,0
DC116,Global Business (USA),578,589,2019,0
DC117,Aviation Management / Aviation Management with Pilot Studies,463,487,2019,0
DC118,Gnó agus Gaeilge / Business and Irish,357,399,2019,0
DC119,Global Business (Canada),566,577,2019,0
DC120,Enterprise Computing,350,389,2019,0
DC121,Computer Applications,370,418,2019,0
DC123,Data Science,467,511,2019,0
DC126,Actuarial Mathematics,520,543,2019,0
DC127,Common Entry into Actuarial and Financial Mathematics,509,531,2019,0
DC131,Communication Studies,400,441,2019,0
DC132,Journalism,401,440,2019,0
DC133,Multimedia,403,451,2019,0
DC155,Applied Language and Translation Studies,371,430,2019,0
DC161,Analytical Science,446,463,2019,0
DC162,Chemical and Pharmaceutical Sciences,488,498,2019,0
DC166,Environmental Science and Technology,412,442,2019,0
DC167,Physics with Astronomy,434,477,2019,0
DC168,Genetics and Cell Biology,489,500,2019,0
DC171,Applied Physics,402,433,2019,0
DC173,Physics with Biomedical Sciences,402,458,2019,0
DC181,Biotechnology,476,488,2019,0
DC190,Electronic and Computer Engineering (with choice of four majors),391,433,2019,0
DC193,Mechatronic Engineering,404,445,2019,0
DC195,Mechanical and Manufacturing Engineering,401,444,2019,0
DC197,Biomedical Engineering,402,446,2019,0
DC200,Common Entry into Engineering (Undenominated Entry),381,444,2019,0
DC201,Common Entry into Science (Undenominated Entry),454,477,2019,0
DC202,Sport Science and Health,467,476,2019,0
DC203,Science Education,424,476,2019,0
DC204,Athletic Therapy and Training,484,500,2019,0
DC205,Physical Education with Biology,490,521,2019,0
DC206,Physical Education with Mathematics,443,476,2019,0
DC208,Psychology,509,521,2019,0
DC209,Health and Society,419,440,2019,0
DC215,General Nursing,414,443,2019,0
