Code,Title,Points1,Points2,Year
DC201,Common Entry into Science (Undenominated Entry),488,499,2020
DC202,Sport Science and Health,498,521,2020
DC203,Science Education,435,487,2020
DC204,Athletic Therapy and Training,519,533,2020
DC205,Physical Education with Biology,531,553,2020
DC206,Physical Education with Mathematics,499,520,2020
DC208,Psychology,521,533,2020
DC209,Health and Society,440,466,2020
DC215,General Nursing,433,462,2020
DC216,Mental Health Nursing,403,424,2020
DC217,Intellectual Disability Nursing,370,390,2020
DC218,Children`s and General Nursing (Integrated),498,522,2020
DC230,"Economics, Politics and Law",435,462,2020
DC231,International Relations,397,433,2020
DC232,Law and Society (BCL),466,496,2020
DC235,Education and Training - Daytime and Flexible Delivery Mode (full-time),309,357,2020
DC238,Social Sciences and Cultural Innovation,377,411,2020
DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",430,473,2020
DC240,"Marketing, Innovation and Technology",474,498,2020
DC291,Arts (Joint Honours) - Media Studies,376,409,2020
DC292,Arts (Joint Honours) - Law,403,430,2020
DC293,Arts (Joint Honours) - International Languages,377,466,2020
DC295,Arts (Joint Honours) - Politics,376,409,2020
DK810,Accounting and Finance,305,401,2020
DK816,Business Studies,300,367,2020
DK820,Computing in Games Development,311,348,2020
DK821,Computing in Software Development,302,361,2020
DK822,Augmented and Virtual Reality,304,380,2020
DK830,Building Surveying,336,352,2020
DK831,Architectural Technology,389,433,2020
DK832,Construction Management,387,419,2020
DK843,Engineering (Common Entry),340,439,2020
DK844,Mechanical Engineering,305,448,2020
DK845,Electrical & Electronic Engineering,304,392,2020
DK846,Civil Engineering,361,392,2020
DK850,International Tourism Management,317,377,2020
DK860,Music (audition),503,634,2020
DK861,Arts,302,363,2020
DK862,Social Care,301,347,2020
DK863,Creative Media,308,337,2020
DK864,Film and Television Production,300,402,2020
DK865,Audio and Music Production,301,367,2020
DK870,General Nursing,397,419,2020
DK872,Intellectual Disability Nursing,336,358,2020
DK874,Mental Health Nursing,356,379,2020
DK876,Early Childhood Studies,321,388,2020
DK877,Midwifery,440,470,2020
DK880,Health and Physical Activity,328,389,2020
DK882,Agriculture (Award options),310,380,2020
DK883,Science (Award options),300,370,2020
DK884,Sustainable Agriculture,,,2020
DK885,Agri-Food Production,,,2020
DK886,Biopharmaceutical Science,301,338,2020
DK887,Environmental Science,330,589,2020
DL821,"English, Media and Cultural Studies",212,347,2020
DL822,Arts Management,235,337,2020
DL823,Business Management,237,325,2020
DL825,Applied Psychology,379,434,2020
DL826,Visual Communication Design,855,1024,2020
DL827,Art,572,941,2020
DL828,"3D Design, Modelmaking and Digital Art",538,920,2020
DL829,Design for Stage and Screen (Costume Design),593,947,2020
DL830,Design for Stage and Screen (Character Makeup Design),939,968,2020
DL831,Design for Stage and Screen (Production Design),781,1026,2020
DL832,Animation,920,1022,2020
DL833,Photography,667,854,2020
DL834,Film and Television Production,990,1040,2020
DL836,Creative Computing,219,300,2020
DL837,New Media Studies,201,316,2020
DL838,Creative Music Production,754,972,2020
DL839,Interaction and User Experience Design,683,990,2020
DL840,Digital Marketing,228,327,2020
DL841,English and Equality Studies,276,341,2020
DN100,Architecture,510,541,2020
DN120,Landscape Architecture,407,453,2020
DN130,City Planning and Environmental Policy,390,432,2020
DN150,Engineering (Common Entry),520,565,2020
DN200,Science (options),533,567,2020
DN201,Computer Science (Common Entry),510,542,2020
DN230,Actuarial and Financial Studies,601,613,2020
DN240,Sustainability,440,498,2020
DN250,Agricultural Science (options),453,488,2020
DN252,Dairy Business,410,455,2020
DN253,Agri - Environmental Sciences,413,443,2020
DN261,Food Science,476,495,2020
DN262,Human Nutrition,531,553,2020
DN271,Forestry,311,359,2020
DN272,"Horticulture, Landscape and Sportsturf Management",282,378,2020
DN300,Veterinary Medicine - Undergraduate Entry,589,602,2020
DN301,Veterinary Medicine - Graduate Entry (GAMSAT required),,,2020
DN310,Veterinary Nursing,466,489,2020
DN400,Medicine - Undergraduate Entry (HPAT required),736,748,2020
DN401,Medicine - Graduate Entry (GAMSAT required),58,61,2020
DN410,Radiography,531,543,2020
DN411,Radiography - Graduate Entry,,,2020
DN420,Physiotherapy,568,589,2020
DN425,Health and Performance Science,507,521,2020
DN430,Sport and Exercise Management,433,455,2020
DN440,"Biomedical, Health and Life Sciences",589,601,2020
DN450,General Nursing,421,445,2020
DN451,Children`s and General Nursing (Integrated),499,529,2020
DN452,Midwifery,473,499,2020
DN453,Mental Health Nursing,393,412,2020
DN520,Joint Honours (options),310,409,2020
DN530,Humanities (options),326,419,2020
DN541,Modern Languages (options),300,443,2020
DN600,Law (options),543,566,2020
DN610,Business and Law,544,577,2020
DN650,Commerce,521,543,2020
DN660,Commerce International (options),510,531,2020
DN670,Economics and Finance,613,625,2020
DN700,Social Sciences (options),418,466,2020
DN710,Economics,498,510,2020
DN720,Psychology,522,543,2020
DN750,Social Policy and Sociology,377,408,2020
GA181,Accounting,309,403,2020
GA182,Business,287,347,2020
GA183,Business Information Systems,296,356,2020
GA184,Marketing and Sales,307,357,2020
GA185,Finance and Economics,293,392,2020
GA186,Business with Entrepreneurship,280,356,2020
GA187,Rural Enterprise and Agri-Business,281,352,2020
GA281,Film and Documentary,304,379,2020
GA282,Heritage Studies,220,281,2020
GA283,Contemporary Art,679,870,2020
GA284,Design,303,356,2020
GA285,"Education (Art, Design and Graphics)",,,2020
GA380,International Hotel Management,242,330,2020
GA381,International Tourism Management,278,350,2020
GA382,Culinary and Gastronomic Science,206,337,2020
GA384,Event Management with Public Relations,212,328,2020
GA480,Construction Management,260,336,2020
GA482,Quantity Surveying and Construction Economics,288,350,2020
GA483,Architectural Technology,265,337,2020
GA484,Civil Engineering,290,383,2020
GA580,Software and Electronic Engineering,300,393,2020
GA680,Mechanical Engineering,330,401,2020
GA681,Energy Engineering,293,366,2020
GA682,Biomedical Engineering,313,393,2020
GA683,Agricultural Engineering,309,385,2020
GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),340,405,2020
GA685,Manufacturing Engineering Design,309,379,2020
GA780,Applied Freshwater and Marine Biology,327,377,2020
GA781,Applied Biology and Biopharmaceutical Science,337,390,2020
GA782,Chemical and Pharmaceutical Science,336,388,2020
GA783,Physics and Instrumentation,363,408,2020
GA784,Science (Undenominated),372,403,2020
GA785,Medical Science,473,500,2020
GA786,Forensic Science and Analysis,317,387,2020
GA787,Computing in Software Development,270,315,2020
GA788,Computing and Digital Media,282,356,2020
GA789,Agriculture and Environmental Management,289,371,2020
GA790,Sport and Exercise Science,356,409,2020
GA791,Public Health Nutrition,368,409,2020
GA880,General Nursing,422,441,2020
GA882,Psychiatric Nursing,367,377,2020
GA885,Outdoor Education,252,262,2020
GA887,History and Geography,244,380,2020
GA889,Applied Social Care,266,298,2020
GA890,Early Childhood Education and Care,270,327,2020
GA891,Geography and Outdoor Education,244,391,2020
GA980,Education (Design Graphics and Construction),377,411,2020
GA984,"Furniture Design, Making and Technology - Common Entry",284,369,2020
GC200,Business Studies,252,369,2020
GC201,Accounting and Finance,303,388,2020
GC230,Computing Science,325,393,2020
GC250,Communications and Media Production,,,2020
GC300,Business Studies,390,432,2020
GC301,Accounting & Finance,253,346,2020
GC302,Business Studies - HRM,,,2020
GC305,International Hospitality Management,253,253,2020
GC400,Business Studies,248,281,2020
GC401,Accounting and Finance,202,343,2020
GC402,Business Studies (HRM),218,236,2020
GC403,Law,228,328,2020
GC407,Business Studies (Marketing),218,321,2020
GC430,Computing Science,220,298,2020
GC450,Communications and Media Production,254,280,2020
GC462,Design Communication (portfolio),,,2020
GC489,Interior Architecture (portfolio),254,301,2020
GC494,Fashion Design (portfolio),217,412,2020
GY101,Arts (Joint-Honours),300,391,2020
GY104,Arts (Psychology),519,542,2020
GY105,Arts (History),301,377,2020
GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),409,456,2020
GY109,Arts (Mathematics and Education),403,466,2020
GY110,Arts with Children`s Studies,357,418,2020
GY111,Arts with Creative Writing,330,492,2020
GY112,Arts with Film Studies,321,399,2020
GY113,Arts with Human Rights,368,422,2020
GY115,Arts with Performing Arts Studies,387,443,2020
GY118,"Arts (Drama, Theatre and Performance Studies)",451,492,2020
GY119,Arts (Journalism),400,465,2020
GY120,"Arts (Child, Youth and Family: Policy and Practice)",350,397,2020
GY121,Arts (Children`s Studies),356,419,2020
