Code,Title,Points1_2019,Points2_2019,Points1_2020,Points2_2020,Points1_2021,Points2_2021
DC117,Aviation Management / Aviation Management with Pilot Studies,463,487,475,500.0,484   ,
DC118,Gnó agus Gaeilge / Business and Irish,357,399,359,429.0,368   ,
DC119,Global Business (Canada)                           ,566,577,564,577.0,601   ,
DC120,Computing for Business                             ,350,389,357,392.0,403   ,402
DC121,Computer Applications,370,418,400,455.0,475   ,
DC123,Data Science                                       ,467,511,465,531.0,501   ,
DC126,Actuarial Mathematics                              ,520,543,560,578.0,577  ,
DC127,Common Entry into Actuarial and Financial Mathematics,509,531,520,543.0,541   ,
DC131,Communication Studies,400,441,402,451.0,421   ,
DC132,Journalism,401,440,422,466.0,452   ,
DC133,Multimedia                                         ,403,451,410,451.0,435   ,
DC155,Applied Language and Translation Studies,371,430,387,444.0,427   ,
DC161,Analytical Science,446,463,489,510.0,498   ,
DC162,Chemical and Pharmaceutical Sciences               ,488,498,521,544.0,531  ,
DC163,Chemical Sciences General Entry (Undenominated Ent ,,,,,466  ,
DC166,Environmental Science and Technology,412,442,399,441.0,423  ,
DC167,Physics with Astronomy,434,477,,,,
DC168,Genetics and Cell Biology,489,500,510,529.0,543  ,
DC171,Applied Physics,402,433,,,,
DC173,Physics with Biomedical Sciences,402,458,,,,
DC175,Physics General Entry (options)                    ,,,402,467.0,400   ,
DC180,Biological Sciences General Entry (Undenominated E ,,,,,530   ,
DC181,Biotechnology,476,488,495,511.0,530   ,
DC190,Electronic and Computer Engineering (with choice of four majors),391,433,413,465.0,488   ,
DC193,Mechatronic Engineering,404,445,411,487.0,490   ,
DC194,Sustainable Systems and Energy                     ,,,,,476   ,
DC195,Mechanical and Manufacturing Engineering,401,444,425,487.0,500   ,
DC197,Biomedical Engineering,402,446,423,477.0,510   ,
DC200,Common Entry into Engineering (Undenominated Entry ,381,444,422,487.0,511   ,510
DC201,Common Entry into Science (Undenominated Entry),454,477,488,499.0,,
DC202,Sport Science and Health                           ,467,476,498,521.0,511   ,
DC203,Science Education,424,476,435,487.0,462   ,
DC204,Athletic Therapy and Training                      ,484,500,519,533.0,558   ,
DC205,Physical Education with Biology                    ,490,521,531,553.0,565   ,
DC206,Physical Education with Mathematics,443,476,499,520.0,521   ,
DC207,Psychology and Mathematics                         ,,,,,521   ,
DC208,Psychology                                         ,509,521,521,533.0,565   ,
DC209,Health and Society,419,440,440,466.0,477   ,
DC210,Psychology and Disruptive Technologies             ,,,,,506   ,
DC215,General Nursing,414,443,433,462.0,456  ,
DC216,Mental Health Nursing                              ,368,389,403,424.0,420   ,
DC217,Intellectual Disability Nursing,347,362,370,390.0,382   ,
DC218,Children`s and General Nursing (Integrated),467,480,498,522.0,521  ,
DC230,"Economics, Politics and Law",400,431,435,462.0,431   ,
DC231,International Relations,387,445,397,433.0,398   ,
DC232,Law and Society (BCL),453,487,466,496.0,469   ,
DC235,Education and Training - Daytime Delivery Mode (full-time),307,327,309,357.0,302   ,
DC238,Social Sciences and Cultural Innovation,358,388,377,411.0,387   ,
DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",,,430,473.0,,
DC240,"Marketing, Innovation and Technology",451,474,474,498.0,499   ,
DC241,Digital Business and Innovation                    ,,,,,509   ,
DC291,Arts (Joint Honours) - Media Studies,349,392,376,409.0,350   ,
DC292,Arts (Joint Honours) - Law,356,388,403,430.0,400   ,
DC293,Arts (Joint Honours) - International Languages     ,369,400,377,466.0,379   ,
DC294,Climate and Environmental Sustainability           ,,,,,475   ,
DC295,Arts (Joint Honours) - Politics,348,387,376,409.0,349   ,
DK810,Accounting and Finance,306,391,305,401.0,307   ,307
DK816,Business Studies                                   ,300,357,300,367.0,301   ,301
DK820,Computing in Games Development,307,369,311,348.0,309   ,309
DK821,Computing in Software Development                  ,301,347,302,361.0,320   ,316
DK822,Augmented and Virtual Reality,,,304,380.0,320   ,320
DK830,Building Surveying                                 ,302,349,336,352.0,305   ,
DK831,Architectural Technology                           ,301,366,389,433.0,368   ,314
DK832,Construction Management,300,329,387,419.0,358   ,305
DK843,Engineering (Common Entry)                         ,303,402,340,439.0,404   ,391
DK844,Mechanical Engineering                             ,,,305,448.0,336   ,336
DK845,Electrical and Electronic Engineering              ,,,304,392.0,331   ,331
DK846,Civil Engineering                                  ,,,361,392.0,371   ,371
DK850,International Tourism Management,,,317,377.0,303   ,303
DK860,Music,499,649,503,634.0,,
DK861,Arts,300,358,302,363.0,302   ,302
DK862,Social Care,300,338,301,347.0,322   ,319
DK863,Creative Media,300,376,308,337.0,336   ,320
DK864,Film and Television Production,300,332,300,402.0,308   ,
DK865,Audio and Music Production,301,346,301,367.0,352   ,
DK870,General Nursing                                    ,392,401,397,419.0,440  ,440
DK872,Intellectual Disability Nursing,300,317,336,358.0,367   ,366
DK874,Mental Health Nursing                              ,356,378,356,379.0,398   ,
DK876,Early Childhood Studies,305,359,321,388.0,300   ,
DK877,Midwifery                                          ,398,441,440,470.0,482   ,477
DK880,Health and Physical Activity                       ,300,367,328,389.0,301   ,
DK882,Agriculture (Award options),303,358,310,380.0,342   ,
DK883,Science (Award options),300,369,300,370.0,373   ,368
DK884,Sustainable Agriculture,,,,,348   ,
DK885,Agri-Food Production                               ,,,,,,
DK886,Biopharmaceutical Science,,,301,338.0,379   ,
DK887,Environmental Science,,,330,589.0,377   ,
DL821,"English, Media and Cultural Studies",211,317,212,347.0,,
DL822,Arts Management                                    ,209,319,235,337.0,254   ,
DL823,Business Management                                ,260,316,237,325.0,220   ,
DL825,Applied Psychology,349,413,379,434.0,418   ,413
DL826,Visual Communication Design,736,989,855,1024.0,591  ,
DL827,Art,583,902,572,941.0,574  ,
DL828,"3D Design, Modelmaking and Digital Art",691,866,538,920.0,,
DL829,Design for Stage and Screen (Costume Design),817,1021,593,947.0,,
