Code,Title,Points1,Points2,Mid-point,Year
CK102,Social Science,391,,431,2019
CK102,Social Science,412,,451,2020
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),340,,409,2019
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),302,,435,2020
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),339,,485,2021
CK105,Film and Screen Media - 3 years or 4 years (International Pathway),368,337,418,2020
CK105,Film and Screen Media - 3 years or 4 years (International Pathway),421,420,488,2021
CK105,Film and Screen Media - 3 years or 4 years (International Pathway),397,,442,2019
CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),312,,425,2021
CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),328,,388,2020
CK107,Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),326,,388,2019
CK108,Arts International - 4 years,440,440,487,2021
CK108,Arts International - 4 years,401,,466,2020
CK108,Arts International - 4 years,429,,466,2019
CK109,English - 3 years or 4 years (International Pathway),367,357,462,2021
CK109,English - 3 years or 4 years (International Pathway),318,,441,2020
CK109,English - 3 years or 4 years (International Pathway),347,,423,2019
CK110,World Languages,488,,522,2021
CK110,World Languages,452,433,506,2020
CK110,World Languages,456,,506,2019
CK111,Early Years and Childhood Studies,419,,451,2020
CK111,Early Years and Childhood Studies,409,403,445,2021
CK111,Early Years and Childhood Studies,398,,429,2019
CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),330,,434,2020
CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),371,,533,2021
CK112,Theatre and Performative Practices - 3 or 4 years (Int`l Pathway),324,,470,2019
CK113,Criminology - 3 years or 4 years (International Pathway),408,,430,2019
CK113,Criminology - 3 years or 4 years (International Pathway),464,463,486,2021
CK113,Criminology - 3 years or 4 years (International Pathway),423,,463,2020
CK114,Social Science (Youth and Community Work) - 3 years,,,,2020
CK114,Social Science (Youth and Community Work) - 3 years,,,,2019
CK114,Social Science (Youth and Community Work),,,,2021
CK115,Social Work - Mature Applicants only,,,,2020
CK115,Social Work - Mature Applicants only,,,,2021
CK115,Social Work - Mature Applicants only,,,,2019
CK116,Sports Studies and Physical Education,499,,520,2019
CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),307,,361,2019
CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),336,,378,2020
CK118,Digital Humanities and IT - 3 or 4 years (Work Exper. or Int`l Pathway),347,339,444,2021
CK120,Applied Psychology,533,532,555,2020
CK120,Applied Psychology,544,543,555,2021
CK120,Applied Psychology,506,,532,2019
CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),466,,496,2020
CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),499,488,522,2021
CK121,Psychology and Computing - 3 or 4 years (Work Experience Pathway),393,,466,2019
CK122,Government and Political Science,399,,465,2021
CK122,Government and Political Science,355,,410,2019
CK122,Government and Political Science,337,328,403,2020
CK123,Anthropology,308,,410,2020
CK123,Anthropology,308,,429,2021
CK124,Education - Gaeilge,473,,522,2021
CK124,Education - Gaeilge,463,462,495,2020
CK125,Sports Studies and Physical Education,564,555,589,2021
CK125,Sports Studies and Physical Education,510,509,532,2020
CK201,Commerce,465,,489,2019
CK201,Commerce,477,,509,2020
CK201,Commerce,500,499,532,2021
CK202,Accounting,467,,506,2019
CK202,Accounting,553,543,566,2021
CK202,Accounting,509,,542,2020
CK203,Business Information Systems,455,452,490,2021
CK203,Business Information Systems,430,,467,2020
CK203,Business Information Systems,409,,444,2019
CK204,Finance,531,,555,2019
CK204,Finance,566,566,601,2021
CK204,Finance,556,,590,2020
CK205,Commerce (International) with French,465,,522,2021
CK205,Commerce (International) with French,445,,495,2020
CK205,Commerce (International) with French,409,,473,2019
CK206,Commerce (International) with German,408,,446,2019
CK206,Commerce (International) with German,466,455,521,2021
CK206,Commerce (International) with German,420,418,476,2020
CK207,Commerce (International) with Italian,408,,425,2019
CK207,Commerce (International) with Italian,423,418,441,2021
CK207,Commerce (International) with Italian,388,,455,2020
CK208,Commerce (International) with Hispanic Studies,431,,455,2019
CK208,Commerce (International) with Hispanic Studies,488,486,528,2021
CK208,Commerce (International) with Hispanic Studies,402,,484,2020
CK209,Commerce (International) with Irish,507,,534,2021
CK209,Commerce (International) with Irish,484,,531,2020
CK209,Commerce (International) with Irish,509,,528,2019
CK211,Commerce (International) with Chinese Studies,398,,420,2019
CK211,Commerce (International) with Chinese Studies,397,,433,2020
CK211,Commerce (International) with Chinese Studies,385,,477,2021
CK212,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,445,444,474,2021
CK212,Economics (Transformational Learning) - 3 or 4 years (Int`l Pathway),400,,429,2019
CK212,Economics (through Transformational Learning) 3 or 4 years Int`l Pathway,444,,473,2020
CK213,Food Marketing and Entrepreneurship,462,,476,2020
CK213,Food Marketing and Entrepreneurship,466,,498,2021
CK214,International Development,332,,451,2021
CK214,International Development,346,,422,2020
CK301,Law (Pathways) -  3 or 4 years,507,499,531,2020
CK301,Law (Pathways) -  3 or 4 years,533,532,556,2021
CK301,Law (Pathways) -  3 or 4 years,476,,519,2019
CK302,Law and French,453,,531,2019
CK302,Law and French,545,,564,2021
CK302,Law and French,542,,576,2020
CK304,Law and Irish,588,,601,2021
CK304,Law and Irish,540,,565,2020
CK304,Law and Irish,462,,510,2019
CK307,Law and Business,522,,554,2019
CK307,Law and Business,589,589,601,2021
CK307,Law and Business,556,,589,2020
CK401,Computer Science,503,495,531,2021
CK401,Computer Science,402,,456,2019
CK401,Computer Science,468,,509,2020
CK402,Biological and Chemical Sciences,498,,520,2019
CK402,Biological and Chemical Sciences,555,555,577,2021
CK402,Biological and Chemical Sciences,510,509,532,2020
CK404,"Biological, Earth and Environmental Sciences",412,,451,2019
CK404,"Biological, Earth and Environmental Sciences",467,,498,2020
CK404,"Biological, Earth and Environmental Sciences",500,495,521,2021
CK405,Genetics,487,,498,2020
CK405,Genetics,543,,554,2021
CK405,Genetics,476,,496,2019
CK406,Chemical Sciences,485,472,494,2020
CK406,Chemical Sciences,532,,554,2021
CK406,Chemical Sciences,457,,488,2019
CK407,Mathematical Sciences,531,,578,2019
CK407,Mathematical Sciences,566,,601,2021
CK407,Mathematical Sciences,566,565,601,2020
CK408,Physics and Astrophysics,511,,566,2019
CK408,Physics and Astrophysics,554,542,589,2020
CK408,Physics and Astrophysics,566,,601,2021
CK409,Industrial Physics (offered jointly by UCC and CIT),413,,532,2019
CK409,Industrial Physics - Offered jointly by UCC and CIT,432,,499,2020
CK409,Industrial Physics - Offered jointly by UCC and CIT,465,,509,2021
CK411,Data Science and Analytics,510,,554,2020
CK411,Data Science and Analytics,509,,542,2019
CK411,Data Science and Analytics,531,,577,2021
CK412,Agricultural Science,496,496,510,2020
CK412,Agricultural Science,457,,509,2019
CK412,Agricultural Science,506,,544,2021
CK502,Food Marketing and Entrepreneurship,433,,456,2019
CK504,Nutritional Sciences,518,,554,2020
CK504,Nutritional Sciences,555,554,566,2021
CK504,Nutritional Sciences,492,,509,2019
CK505,Food Science,463,,489,2021
CK505,Food Science,444,,477,2019
CK505,Food Science,441,440,465,2020
CK506,International Development and Food Policy,367,,410,2019
CK600,Engineering,487,,532,2020
CK600,Engineering,465,,532,2019
CK600,Engineering,510,509,555,2021
CK606,Architecture - Offered jointly by UCC and CIT,484,476,510,2020
CK606,Architecture (offered jointly by UCC and CIT),465,,496,2019
CK606,Architecture - Offered jointly by UCC and CIT,543,,565,2021
CK701,Medicine (Undergraduate Entry - HPAT required),729,,740,2019
CK701,Medicine (Undergraduate Entry - HPAT required),731,,739,2020
CK701,Medicine (Undergraduate Entry - HPAT required),738,737,743,2021
CK702,Dentistry,625,625,625,2021
CK702,Dentistry,590,,613,2019
CK702,Dentistry,613,613,613,2020
CK703,Pharmacy,577,,589,2019
CK703,Pharmacy,613,613,625,2021
CK703,Pharmacy,590,589,602,2020
CK704,Occupational Therapy,566,555,577,2020
CK704,Occupational Therapy,601,,602,2021
CK704,Occupational Therapy,532,,554,2019
CK705,Speech and Language Therapy,568,566,589,2021
CK705,Speech and Language Therapy,509,,529,2019
CK705,Speech and Language Therapy,520,,541,2020
CK706,Public Health Sciences,419,,451,2019
CK706,Public Health Sciences,454,,477,2020
CK706,Public Health Sciences,500,,532,2021
CK707,Medical and Health Sciences,510,,543,2019
CK707,Medical and Health Sciences,542,541,555,2020
CK707,Medical and Health Sciences,578,,601,2021
CK710,General Nursing,454,,477,2020
CK710,General Nursing,498,497,519,2021
CK710,General Nursing,440,,466,2019
CK712,Children`s and General Nursing (Integrated),533,,553,2020
CK712,Children`s and General Nursing (Integrated),499,,520,2019
CK712,Children`s and General Nursing (Integrated),565,,578,2021
CK720,Mental Health Nursing,398,,429,2019
CK720,Mental Health Nursing,455,452,467,2021
CK720,Mental Health Nursing,423,,440,2020
CK730,Intellectual Disability Nursing,359,,388,2019
CK730,Intellectual Disability Nursing,431,,451,2021
CK730,Intellectual Disability Nursing,419,411,433,2020
CK740,Midwifery,509,,543,2021
CK740,Midwifery,444,,474,2019
CK740,Midwifery,484,,507,2020
CK791,Medicine  - Graduate Entry (GAMSAT required),57,,58,2020
CK791,Medicine  - Graduate Entry (GAMSAT required),58,,59,2019
CK791,Medicine  - Graduate Entry (GAMSAT required),60,60,61,2021
CM001,Education - Primary Teaching,484,,487,2020
CM001,Education - Primary Teaching,508,,518,2021
CM001,Education - Primary Teaching,452,,462,2019
CM002,Education - Primary Teaching - Gaeltacht Applicants,421,,440,2019
CM002,Education - Primary Teaching - Gaeltacht Applicants,462,,506,2021
CM002,Education - Primary Teaching - Gaeltacht Applicants,,,,2020
CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,528,,570,2020
CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,491,,506,2019
CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,513,,546,2021
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,494,,513,2020
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),492,,569,2019
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),480,,618,2021
CM010,Education Studies,317,,373,2019
CM010,Education Studies,319,,407,2020
CM010,Education Studies,382,327,440,2021
CM020,Early Childhood Education,327,,390,2020
CM020,Early Childhood Education,336,,363,2019
CM020,Early Childhood Education,317,,377,2021
CR105,Chemical and Biopharmaceutical Engineering,443,,532,2021
CR105,Chemical and Biopharmaceutical Engineering,443,,532,2020
CR105,Chemical and Biopharmaceutical Engineering,432,,498,2019
CR106,Software Development,411,,463,2020
CR106,Software Development,431,,476,2021
CR106,Software Development,351,,393,2019
CR108,Mechanical Engineering,434,,509,2020
CR108,Mechanical Engineering,434,,509,2021
CR108,Mechanical Engineering,425,,487,2019
CR109,Structural Engineering,394,,423,2020
CR109,Structural Engineering,396,,465,2021
CR109,Structural Engineering,341,,467,2019
CR110,Automotive Business Management and Technology,311,,362,2020
CR110,Automotive Business Management and Technology,336,,388,2021
CR110,Automotive Business Management and Technology,318,,347,2019
CR112,Creative Digital Media at CIT Crawford College of Art and Design,390,,455,2021
CR112,Creative Digital Media,335,,389,2019
CR112,Creative Digital Media,361,,430,2020
CR116,Computer Systems,318,,381,2019
CR116,Computer Systems,332,,393,2020
CR116,Computer Systems,365,,400,2021
CR121,Music at CIT Cork School of Music,633,,1052,2019
CR121,Music at CIT Cork School of Music,868,,1078,2020
CR121,Music at CIT Cork School of Music,904,904,1141,2021
CR125,Popular Music at CIT Cork School of Music,1028,,1029,2021
CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,1088,,1088,2020
