Title,Points1_2019,Points2_2019,Points1_2020,Points2_2020,Points1_2021,Points2_2021
Drama (Performance),,,379,500,448  ,
Music,,,416,535,364  ,
International Business and Languages,,,346,413,357   ,
Languages and English Studies,,,434,466,,
Languages and International Tourism,,,326,388,298   ,
Contemporary Visual Culture,,,290,320,,
Creative and Cultural Industries,,,281,369,,
Design - Visual Communication (portfolio)          ,,,717,865,700  ,
Fine Art (portfolio)                               ,,,563,826,549  ,
Interior Design (portfolio)                        ,,,632,879,544  ,
Photography (portfolio)                            ,,,695,926,700  ,
Creative Industries and Visual Culture             ,,,,,299   ,
Creative Digital Media,,,282,318,280   ,
Creative Digital Media,,,311,352,369   ,
Film and Broadcasting                              ,,,451,484,462   ,453
Game Design,,,381,419,414   ,
Journalism,,,322,377,367   ,
Print Media Technology and Management,,,289,300,,
Early Childhood Care and Education (campus options ,,,,,270   ,
Applied Social Studies in Social Care,,,325,352,326   ,
Community and Youth Development,,,253,297,251   ,
Early Childhood Care and Education,,,270,311,,
Early Childhood Care and Education,,,230,304,,
Early Childhood Education                          ,,,367,409,378   ,
Social Care                                        ,,,400,419,407   ,
Applied Social Care,,,270,318,320   ,
Applied Computing (options),279,358,260,413,270   ,261
Science (options),302,377,308,388,279   ,
Health Sciences (options),288,347,280,338,271   ,
Exercise Sciences (options),282,337,280,359,270   ,
Engineering (options)                              ,287,382,288,409,270   ,270
Construction Management and Engineering,269,327,269,341,262   ,
Music                                              ,290,317,262,409,321  ,
Business (options)                                 ,278,357,271,371,279   ,
Accounting,307,403,308,411,308   ,
Hospitality Management                             ,210,281,228,310,225   ,
General Nursing                                    ,413,430,422,451,446   ,
Psychiatric Nursing,361,382,366,388,415   ,
Intellectual Disability Nursing,338,359,377,388,390   ,
International Business,289,350,290,362,267   ,
Design (Visual Communications)                     ,253,373,271,351,252   ,
Laws                                               ,290,352,280,367,280   ,
Architecture,283,385,284,359,309   ,
Pharmaceutical Science,298,363,293,390,288   ,
Tourism Marketing,269,338,,,,
Early Childhood Studies,288,336,271,368,,
Criminal Justice Studies                           ,271,311,270,331,280   ,
Visual Art,253,323,,317,243   ,
Computer Forensics and Security                    ,262,401,255,380,270   ,
Quantity Surveying,260,320,216,306,226   ,
Psychology,390,429,434,473,456   ,
Sports Coaching and Performance                    ,276,327,270,344,261   ,
Social Science                                     ,271,321,272,348,276   ,
Agricultural Science,378,421,377,420,377   ,
Social Care Practice                               ,279,323,270,326,271   ,
Marketing and Digital Media,290,358,271,347,279   ,
Culinary Arts,235,331,217,321,237   ,
Architectural and Building Information Modelling Technology,266,305,279,367,279   ,
Arts (options)                                     ,221,296,,336,201   ,201
Software Systems Development,271,329,279,337,260   ,
Creative Computing,275,322,271,318,270   ,
Recreation and Sport Management,274,311,270,349,262   ,
Mechanical and Manufacturing Engineering,273,348,253,369,230   ,230
Early Childhood Care and Education                 ,,,,,266   ,
Business Information Systems                       ,,,,,261   ,261   
