Title,Points1_2019,Points2_2019,Points1_2020,Points2_2020,Points1_2021,Points2_2021
Marketing (Digital Media)                          ,210,289,,,307   ,209
Accounting and Finance                             ,225,271,195,318,243   ,228
Business (Information Systems)                     ,402,402,309,409,247   ,239
Marketing (Digital Media and Cloud Computing)      ,284,309,,,288   ,288
Business Information Systems (Cloud Computing),253,288,347,423,244   ,244
Applied Social Care,235,288,234,306,254   ,219
Marketing,220,288,293,336,288   ,176
Psychology                                         ,208,310,229,322,244   ,233
Social Science                                     ,216,308,220,290,262   ,228
Film and Creative Media                            ,192,295,202,290,245   ,213
Law,245,308,217,309,254   ,228
Business (Psychology)                              ,279,338,252,284,240   ,240
Education - Early Childhood Education,398,424,440,462,445   ,
Education - Primary Teaching                       ,462,485,488,520,518  ,
Education - Primary Teaching - Gaeltacht Applicants,433,473,445,462,489  ,
Education - Primary Teaching (Church of Ireland Centre formerly CICE),357,,409,463,451  ,
Education - Primary Teaching - Irish Sign Language,316,316,,,,
Arts (Joint Honours) - Humanities,347,408,376,423,356   ,
Post Primary Teacher Education - Religious Education and English,386,413,429,465,384   ,
Post Primary Teacher Education - Religious Education and History,352,389,391,429,409   ,
Post Primary Teacher Education - Religious Education and Music,367,415,378,420,409   ,
Post Primary Teacher Ed - Gaeilge with French/German/Spanish,410,509,419,487,413   ,
BA in Jazz and Contemporary Music Performance (aud ,428,590,419,605,311  ,
Business Studies International                     ,440,462,465,488,498   ,
Business Studies,463,479,488,507,511   ,
Global Business (France),495,510,510,532,542  ,
Global Business (Germany)                          ,440,476,462,496,484   ,
Global Business (Spain),501,543,522,545,544   ,
Accounting and Finance,487,500,510,544,544   ,
Global Business (USA),578,589,579,601,613  ,
Aviation Management / Aviation Management with Pilot Studies,463,487,475,500,484   ,
Gnó agus Gaeilge / Business and Irish,357,399,359,429,368   ,
Global Business (Canada)                           ,566,577,564,577,601   ,
Computing for Business                             ,350,389,357,392,403   ,402
Computer Applications,370,418,400,455,475   ,
Data Science                                       ,467,511,465,531,501   ,
Actuarial Mathematics                              ,520,543,560,578,577  ,
Common Entry into Actuarial and Financial Mathematics,509,531,520,543,541   ,
Communication Studies,400,441,402,451,421   ,
Journalism,401,440,422,466,452   ,
Multimedia                                         ,403,451,410,451,435   ,
Applied Language and Translation Studies,371,430,387,444,427   ,
Analytical Science,446,463,489,510,498   ,
Chemical and Pharmaceutical Sciences               ,488,498,521,544,531  ,
Chemical Sciences General Entry (Undenominated Ent ,,,,,466  ,
Environmental Science and Technology,412,442,399,441,423  ,
Physics with Astronomy,434,477,,,,
Genetics and Cell Biology,489,500,510,529,543  ,
Applied Physics,402,433,,,,
Physics with Biomedical Sciences,402,458,,,,
Physics General Entry (options)                    ,,,402,467,400   ,
Biological Sciences General Entry (Undenominated E ,,,,,530   ,
Biotechnology,476,488,495,511,530   ,
Electronic and Computer Engineering (with choice of four majors),391,433,413,465,488   ,
Mechatronic Engineering,404,445,411,487,490   ,
Sustainable Systems and Energy                     ,,,,,476   ,
Mechanical and Manufacturing Engineering,401,444,425,487,500   ,
Biomedical Engineering,402,446,423,477,510   ,
Common Entry into Engineering (Undenominated Entry ,381,444,422,487,511   ,510
Common Entry into Science (Undenominated Entry),454,477,488,499,,
Sport Science and Health                           ,467,476,498,521,511   ,
