,Code,Title,Points1,Points2,EOS Points,Mid-point,Year
341,DC131,Communication Studies,421,,421,479,2021
342,DC132,Journalism,452,,452,487,2021
343,DC133,Multimedia,435,,435,473,2021
344,DC155,Applied Language and Translation Studies,427,,431,476,2021
345,DC161,Analytical Science,498,,498,521,2021
346,DC162,Chemical and Pharmaceutical Sciences,531,,532,543,2021
347,DC163,Chemical Sciences General Entry (Undenominated Entry),466,,466,510,2021
348,DC166,Environmental Science and Technology,423,,423,466,2021
349,DC168,Genetics and Cell Biology,543,,543,555,2021
350,DC175,Physics General Entry (options),400,,400,479,2021
351,DC180,Biological Sciences General Entry (Undenominated Entry),530,,530,543,2021
352,DC181,Biotechnology,530,,530,544,2021
353,DC190,Electronic and Computer Engineering (with choice of four majors),488,,488,532,2021
354,DC193,Mechatronic Engineering,490,,490,532,2021
355,DC194,Sustainable Systems and Energy,476,,488,509,2021
356,DC195,Mechanical and Manufacturing Engineering,500,,500,521,2021
357,DC197,Biomedical Engineering,510,,510,543,2021
358,DC200,Common Entry into Engineering (Undenominated Entry),511,510,510,543,2021
359,DC202,Sport Science and Health,511,,511,532,2021
360,DC203,Science Education,462,,462,509,2021
361,DC204,Athletic Therapy and Training,558,,558,578,2021
362,DC205,Physical Education with Biology,565,,565,578,2021
363,DC206,Physical Education with Mathematics,521,,521,544,2021
364,DC207,Psychology and Mathematics,521,,521,543,2021
365,DC208,Psychology,565,,565,577,2021
366,DC209,Health and Society,477,,477,509,2021
367,DC210,Psychology and Disruptive Technologies,506,,506,532,2021
368,DC215,General Nursing,456,,456,485,2021
369,DC216,Mental Health Nursing,420,,420,440,2021
370,DC217,Intellectual Disability Nursing,382,,382,402,2021
371,DC218,Children`s and General Nursing (Integrated),521,,521,554,2021
372,DC230,"Economics, Politics and Law",431,,431,468,2021
373,DC231,International Relations,398,,399,458,2021
374,DC232,Law and Society (BCL),469,,469,511,2021
375,DC235,Education and Training - Daytime and Flexible Delivery Mode (full-time),302,,302,370,2021
376,DC238,Social Sciences and Cultural Innovation,387,,387,440,2021
377,DC240,"Marketing, Innovation and Technology",499,,499,532,2021
378,DC241,Digital Business and Innovation,509,,509,533,2021
379,DC291,Arts (Joint Honours) - Media Studies,350,,350,440,2021
380,DC292,Arts (Joint Honours) - Law,400,,400,440,2021
381,DC293,Arts (Joint Honours) - International Languages,379,,379,467,2021
382,DC294,Climate and Environmental Sustainability,475,,475,489,2021
383,DC295,Arts (Joint Honours) - Politics,349,,349,409,2021
385,DL822,Arts Management,254,,254,356,2021
386,DL823,Business Management,220,,220,318,2021
387,DL825,Applied Psychology,418,413,413,462,2021
388,DL826,Graphic Design,591,,591,824,2021
389,DL827,Art,574,,574,906,2021
390,DL832,Animation,989,,989,1098,2021
391,DL833,Photography and Visual Media,671,671,665,877,2021
392,DL836,Creative Computing,235,,235,339,2021
393,DL837,New Media Studies,298,293,293,359,2021
394,DL838,Creative Music Production,713,,713,979,2021
395,DL839,Interaction and User Experience Design,757,,757,1087,2021
396,DL840,Digital Marketing,210,,210,347,2021
397,DL841,English and Equality Studies,277,277,277,357,2021
398,DL843,Film,987,874,874,1000,2021
399,DL844,Television,566,,566,947,2021
400,DL845,Design for Film (degree options),628,,630,900,2021
401,GC200,Business,269,242,242,377,2021
402,GC201,Accounting and Finance,260,226,226,270,2021
403,GC230,Computing Science,300,289,289,351,2021
404,GC250,Communications and Media Production,,,,,2021
405,GC300,Business,264,264,264,377,2021
406,GC301,Accounting and Finance,,251,251,251,2021
407,GC302,Business - HRM,377,377,329,377,2021
408,GC307,Business (Marketing),289,270,270,289,2021
410,GC400,Business,250,228,228,318,2021
411,GC401,Accounting and Finance,242,242,242,337,2021
412,GC402,Business (HRM),,,,0,2021
413,GC403,Law,245,242,242,319,2021
414,GC407,Business (Marketing),264,264,176,318,2021
417,GC430,Computing Science,251,251,251,325,2021
419,GC450,Communications and Media Production,225,225,225,321,2021
421,GC462,Design Communication (portfolio),300,,300,300,2021
426,GC489,Interior Architecture (portfolio),288,274,274,429,2021
428,GC494,Fashion Design (portfolio),351,,309,588,2021
430,BY001,Business,210,210,210,323,2021
432,ID001,Accounting and Finance,,,,0,2021
433,ID002,Business Studies,,,273,340,2021
434,AD101,"First Year Art and Design (Common Entry,portfolio)",554,,554,604,2021
435,AD102,Graphic Design and Moving Image Design (portfolio),538,,538,625,2021
436,AD103,Textile and Surface Design and Jewellery and Objects (portfolio),505,,505,581,2021
437,AD202,"Education and Design or Fine Art (Second Level Teaching,portfolio))",591,,591,620,2021
438,AD204,Fine Art (portfolio),514,,514,583,2021
439,AD211,Fashion Design (portfolio),760,679,679,679,2021
440,AD212,Product Design (portfolio),413,,413,569,2021
441,AD215,Visual Culture,337,300,300,380,2021
442,AD217,Illustration (portfolio),738,,738,,2021
443,AD222,Interaction Design (portfolio),444,,444,488,2021
444,NC003,Computing (Degree Award options),271,,271,334,2021
445,NC005,Human Resource Management,301,,301,360,2021
446,NC009,Business,300,,300,371,2021
447,NC010,Psychology,420,,420,465,2021
448,NC020,Marketing Practice,270,,270,329,2021
449,NC022,Accounting and Finance,330,,330,390,2021
450,NC023,Technology Management (with specialisations),266,,266,356,2021
451,NC030,Early Childhood Education and Care,251,251,251,308,2021
455,RC001,Medicine - Undergraduate Entry (HPAT required),741,740,740,741,2021
456,RC004,Physiotherapy,589,589,589,589,2021
457,RC005,Pharmacy,613,613,602,613,2021
458,RC101,Medicine - Graduate Entry (GAMSAT required),,,62,66,2021
460,NM801,Montessori Education,262,,262,320,2021
461,NM802,Psychology,228,,228,338,2021
528,TU801,Sustainable Energy Engineering,235,,235,329,2021
529,TU802,Electrical Services and Energy Management,309,,290,359,2021
530,TU804,Engineering (Common Entry with Award options),270,,270,361,2021
531,TU805,Engineering (General Entry),466,465,465,499,2021
532,TU807,Computer Engineering in Mobile Systems,274,,274,339,2021
533,TU810,Mechatronic Engineering,271,,271,399,2021
534,TU811,Product Design,440,434,434,479,2021
535,TU812,"Design,Technology and Innovation",278,,278,335,2021
536,TU814,Sustainable Transport Management,253,253,253,349,2021
537,TU828,Mechanical Engineering (General Entry),300,,300,386,2021
538,TU829,Electronic Engineering (General Entry),248,248,243,354,2021
539,TU831,Architectural Technology,423,,423,455,2021
540,TU832,Architecture (Suitability Test and Interview),644,638,638,682,2021
541,TU833,Construction Management,396,,396,429,2021
542,TU834,Geographic Science,315,,315,370,2021
543,TU835,Planning and Environmental Management,330,,330,393,2021
544,TU836,Property Economics (Valuation Surveying),411,,411,444,2021
545,TU837,Quantity Surveying and Construction Economics,413,,413,455,2021
546,TU838,Sustainable Timber Technology,307,271,271,385,2021
547,TU851,"Analytical Chemistry (Environmental, Forensic and Pharmaceutical)",400,,400,464,2021
548,TU852,Chemical Sciences with Medicinal Chemistry,477,,477,499,2021
549,TU854,Science (General Entry),510,,510,532,2021
550,TU855,Science with Nanotechnology,322,,322,382,2021
551,TU856,Computer Science,499,,499,531,2021
552,TU857,Computer Science (Infrastructure),403,,403,443,2021
553,TU858,Computer Science (International),395,,395,444,2021
554,TU859,Computing,251,,251,336,2021
555,TU860,Computing (Information Technology),270,,270,356,2021
556,TU861,Computing with Language (French/German/Spanish),235,235,235,370,2021
557,TU862,Computing with Artificial Intelligence Machine Learning,262,,262,310,2021
558,TU863,Digital Forensics and Cyber Security,282,,282,346,2021
559,TU864,DNA and Forensic Analysis,500,441,441,465,2021
560,TU865,Cloud Computing,235,,235,308,2021
561,TU866,Biomedical and Molecular Diagnostics,522,,522,540,2021
562,TU867,Biomedical Science,576,566,565,578,2021
563,TU868,Clinical Measurement Science,542,,542,554,2021
564,TU869,Environmental Health,387,,387,434,2021
565,TU870,Human Nutrition and Dietetics,601,,600,613,2021
566,TU871,Optometry,532,,532,544,2021
567,TU872,Public Health Nutrition,487,,487,521,2021
568,TU874,Mathematical Sciences,294,294,294,434,2021
569,TU875,Pharmaceutical Healthcare,451,,451,477,2021
570,TU876,Pharmaceutical Science,445,,445,474,2021
571,TU877,Physics Technology,314,314,314,422,2021
572,TU878,Physics with Energy and Environment,339,,339,408,2021
573,TU879,Physics with Medical Physics and Bioengineering,346,,346,430,2021
574,TU880,Physics with Data Science,412,,412,532,2021
575,TU881,Food Innovation,309,,309,423,2021
576,TU882,Nutraceuticals in Health and Nutrition,380,,380,447,2021
577,TU902,Business (options),270,,270,327,2021
578,TU903,Business and Management,477,,477,509,2021
579,TU904,Business and Law,462,,462,486,2021
580,TU905,Economics and Finance,460,,460,488,2021
581,TU906,Human Resource Management,386,377,377,412,2021
582,TU907,Logistics and Supply Chain Management,300,,300,367,2021
583,TU910,Accounting,420,,420,462,2021
584,TU912,Business Analytics,331,311,311,367,2021
585,TU914,Business Computing,322,,322,377,2021
586,TU917,Law (LLB ) with a Language,356,,356,451,2021
587,TU918,Law (LLB),463,,463,499,2021
588,TU919,Advertising and Marketing Communications,219,,219,327,2021
589,TU920,Digital Marketing,270,,270,339,2021
590,TU921,Digital Marketing Technologies,230,,230,298,2021
591,TU922,Marketing,412,,412,446,2021
592,TU924,E-Commerce in Retailing,307,,307,380,2021
593,TU925,Retail and Services Management,307,,307,368,2021
594,TU932,Business (options),211,,211,337,2021
595,TU933,Accounting and Finance (campus options),251,,251,346,2021
596,TU935,Sports Management and Coaching,300,,300,368,2021
597,TU936,Sports Science and Health,484,,484,498,2021
598,TU941,Botanical Cuisine,311,,311,380,2021
599,TU942,Culinary Arts,252,,252,348,2021
600,TU943,Culinary Entrepreneurship,261,,261,387,2021
601,TU944,Culinary Science,336,,336,393,2021
602,TU951,International Hospitality and Tourism Management,244,,244,316,2021
603,TU952,International Hospitality Management,309,,309,398,2021
604,TU953,Tourism and Digital Marketing,308,,308,366,2021
605,TU954,Event Management,326,,326,402,2021
606,TU955,Sports and Leisure Management,275,,275,349,2021
607,TU961,Commercial Modern Music (BIMM - assessment/audition),536,536,536,881,2021
608,TU962,"Drama (Performance, audition)",448,,448,551,2021
609,TU963,Music (audition),364,,364,561,2021
610,TU965,International Business and Languages,357,,357,442,2021
611,TU967,Languages and International Tourism,298,,298,390,2021
612,TU973,Design - Visual Communication (portfolio),700,,700,953,2021
613,TU974,Fine Art (portfolio),549,,549,704,2021
614,TU975,Interior Design (portfolio),544,,544,919,2021
615,TU976,Photography (portfolio),700,,700,952,2021
616,TU978,Creative Industries and Visual Culture,299,,299,440,2021
617,TU981,Creative Digital Media,280,,280,347,2021
618,TU982,Media Production and Digital Arts,369,,369,412,2021
619,TU983,Film and Broadcasting,462,453,453,496,2021
620,TU984,Game Design,414,,414,455,2021
621,TU985,Journalism,367,,367,409,2021
622,TU989,Early Childhood Care and Education (campus options),270,,270,337,2021
623,TU991,Applied Social Studies in Social Care,326,,326,356,2021
624,TU992,Community Development and Youth Work,251,,251,311,2021
625,TU995,Early Childhood Education,378,,378,412,2021
626,TU996,Social Care,407,,407,440,2021
627,TU997,Applied Social Care,320,,320,368,2021
628,TR002,Music,508,477,477,513,2021
629,TR003,History,552,543,531,558,2021
630,TR004,Law,590,589,589,601,2021
631,TR005,Philosophy,510,497,456,510,2021
632,TR006,Psychology,601,590,578,602,2021
633,TR007,Clinical Speech and Language Studies,564,,555,577,2021
634,TR009,Music Education,496,486,486,530,2021
635,TR015,"Philosophy, Political Science, Economics and Sociology",613,613,613,625,2021
636,TR016,Deaf Studies,389,,389,440,2021
637,TR018,Law and French,602,602,600,613,2021
638,TR019,Law and German,577,567,567,588,2021
639,TR021,"Classics, Ancient History and Archaeology",467,462,419,501,2021
640,TR022,Early and Modern Irish,377,,377,473,2021
641,TR023,English Studies,546,541,533,555,2021
642,TR024,European Studies,566,,566,589,2021
643,TR025,Drama and Theatre Studies,543,519,509,552,2021
644,TR028,Ancient and Medieval History and Culture,498,463,382,474,2021
645,TR031,Mathematics,579,578,577,613,2021
646,TR032,Engineering,556,555,554,581,2021
647,TR033,Computer Science,566,549,543,578,2021
648,TR034,Management Science and Information Systems Studies,625,625,625,625,2021
649,TR035,Theoretical Physics,590,589,589,613,2021
650,TR038,Engineering with Management,589,589,589,613,2021
651,TR039,"Computer Science, Linguistics and a Language",443,,443,531,2021
652,TR040,Middle Eastern and European Languages and Cultures,520,499,397,531,2021
653,TR041,Religion,417,,417,476,2021
654,TR042,Film,531,522,518,532,2021
655,TR043,History of Art and Architecture,498,486,467,519,2021
656,TR051,Medicine (HPAT required),743,743,743,751,2021
657,TR052,Dental Science,625,625,625,625,2021
658,TR053,Physiotherapy,590,,590,601,2021
659,TR054,Occupational Therapy,578,577,577,589,2021
660,TR055,Radiation Therapy,577,566,566,577,2021
661,TR056,Human Health and Disease,601,,601,613,2021
662,TR060,Biological and Biomedical Sciences,578,577,577,590,2021
663,TR061,Chemical Sciences,558,554,542,564,2021
664,TR062,Geography and Geoscience,495,,490,531,2021
665,TR063,Physical Sciences,554,543,521,566,2021
666,TR064,Environmental Science and Engineering,555,,555,578,2021
667,TR072,Pharmacy,613,613,613,625,2021
668,TR080,Global Business,613,,613,625,2021
669,TR081,"Business, Economic and Social Studies (BESS)",577,567,566,589,2021
670,TR084,Social Studies (Social Work),497,487,484,508,2021
671,TR085,Business Studies and French,564,,564,577,2021
672,TR086,Business Studies and German,530,,530,533,2021
673,TR087,Business Studies and Russian,487,,487,521,2021
674,TR089,Business Studies and Polish,391,,391,432,2021
675,TR090,Business Studies and Spanish,566,,566,589,2021
676,TR091,General Nursing (Meath and St James`s),462,456,454,487,2021
677,TR093,General Nursing (Adelaide School of Nursing),473,,473,484,2021
678,TR095,Mental Health Nursing,442,,432,455,2021
679,TR097,Intellectual Disability Nursing,412,410,401,419,2021
680,TR111,Ancient History and Archaeology/Geography,496,,509,530,2021
681,TR112,Ancient History and Archaeology/History,577,,577,577,2021
682,TR113,Ancient History and Archaeology/History of Art and Architecture,528,,528,541,2021
683,TR114,Ancient History and Archaeology/Modern Language,507,,507,512,2021
684,TR117,Ancient History and Archaeology/Religion,494,,494,625,2021
685,TR166,Classical Civilisation/English Literature,552,,552,567,2021
686,TR173,Classical Civilisation/History of Art and Architecture,420,,420,487,2021
687,TR177,Classical Civilisation/Modern Language,484,,484,543,2021
688,TR179,Classical Civilisation/Philosophy,508,,521,522,2021
689,TR188,Computer Science/Business Studies,584,,584,602,2021
690,TR198,Economics/Geography,968,956,954,,2021
691,TR202,Economics/History,601,,601,625,2021
692,TR207,Economics/Mathematics,613,,613,625,2021
693,TR208,Economics/Modern Language,589,,589,611,2021
694,TR209,Economics/Philosophy,588,,589,611,2021
