,Code,Title,Points1,Points2,EOS Points,Mid-point,Year
1383,TL889,Counselling with Addiction - Mature applicants only,,,,0,2021
1384,TL890,General Nursing and Mature Applicants,463,,463,484,2021
1385,TL891,Mental Health Nursing and Mature Applicants,440,419,412,430,2021
1386,WD001,Applied Computing (options),270,261,261,423,2021
1387,WD002,Science (options),279,,279,388,2021
1389,WD005,Health Sciences (options),271,,271,368,2021
1390,WD006,Exercise Sciences (options),270,,270,357,2021
1391,WD007,Engineering (options),270,270,270,432,2021
1397,WD025,Construction Management and Engineering,262,,262,357,2021
1398,WD027,Music,321,,321,437,2021
1399,WD048,Business (options),279,,279,387,2021
1401,WD084,Accounting,308,,308,476,2021
1402,WD091,Hospitality Management,225,,225,337,2021
1406,WD116,General Nursing,446,,446,473,2021
1407,WD117,Psychiatric Nursing,415,,415,430,2021
1408,WD120,Intellectual Disability Nursing,390,,390,404,2021
1410,WD134,International Business,267,,267,368,2021
1411,WD137,Design (Visual Communications),252,,252,360,2021
1412,WD140,Laws,280,,280,394,2021
1413,WD144,Architecture,309,,309,401,2021
1414,WD147,Pharmaceutical Science,288,,288,402,2021
1415,WD150,Criminal Justice Studies,280,,280,359,2021
1417,WD152,Visual Art,243,,243,359,2021
1421,WD161,Computer Forensics and Security,270,,270,347,2021
1422,WD162,Quantity Surveying,226,,226,337,2021
1423,WD163,Psychology,456,,456,487,2021
1432,WD186,Sports Coaching and Performance,261,,261,358,2021
1433,WD187,Social Science,276,,276,367,2021
1435,WD191,Agricultural Science,377,,377,434,2021
1436,WD192,Social Care Practice,271,,271,336,2021
1437,WD193,Marketing and Digital Media,279,,279,358,2021
1438,WD194,Culinary Arts,237,,237,321,2021
1439,WD195,Architectural and Building Information Modelling Technology,279,,279,367,2021
1440,WD200,Arts (options),201,201,201,376,2021
1445,WD210,Software Systems Development,260,,260,373,2021
1446,WD211,Creative Computing,270,,270,392,2021
1447,WD212,Recreation and Sport Management,262,,262,304,2021
1448,WD230,Mechanical and Manufacturing Engineering,230,230,230,361,2021
1449,WD231,Early Childhood Care and Education,266,,266,366,2021
1450,WD232,Business Information Systems,261,261,261,329,2021
