Code,Title,Points1,Mid,Year
DC295,Arts (Joint Honours) - Politics,348,387,2019
DT001,Product Design,433,464,2019
DT028,Transport Operations and Technology,279,348,2019
DT035,Electrical Services and Energy Management,293,340,2019
DT066,Engineering (General Entry),400,457,2019
DT101,Architecture (test and interview),618,647,2019
DT106,Planning and Environmental Management,312,337,2019
DT110,Property Economics (Valuation Surveying),367,424,2019
DT111,Quantity Surveying and Construction Economics,391,421,2019
DT112,Geographic Science,287,335,2019
DT117,Construction Management,356,373,2019
DT175,Architectural Technology,388,425,2019
DT201,Science (General Entry),464,477,2019
DT203,Analytical Chemistry (Environmental Forensic and Pharmaceutical),341,403,2019
DT204,Biomedical Science,501,512,2019
DT205,Mathematical Sciences,315,363,2019
DT206,Biomedical and Molecular Diagnostics,473,487,2019
DT211,Computer Science (Infrastructure),381,414,2019
DT220,Industrial Mathematics,300,317,2019
DT221,Physics with Energy and Environment,348,436,2019
DT222,Physics Technology,321,371,2019
DT223,Human Nutrition and Dietetics,553,566,2019
DT224,Optometry,487,529,2019
DT225,Public Health Nutrition,440,476,2019
DT227,Science with Nanotechnology,312,361,2019
DT228,Computer Science,451,466,2019
DT229,Clinical Measurement Science,491,509,2019
DT235,Physics with Medical Physics and Bioengineering,357,403,2019
DT282,Computer Science (International),377,402,2019
DT299,Chemical Sciences with Medicinal Chemistry,420,445,2019
DT302,Business Analytics,325,403,2019
DT304,E-Commerce in Retailing,341,388,2019
DT321,Business and Law,462,478,2019
DT341,Marketing,400,419,2019
DT343,Retail and Services Management,301,332,2019
DT354,Business Computing,322,341,2019
DT358,Logistics and Supply Chain Management,300,359,2019
DT365,Business and Management,440,456,2019
DT366,Accounting and Finance,432,454,2019
DT398,Human Resource Management,375,388,2019
DT399,Economics and Finance,437,465,2019
DT401,International Hospitality Management,300,337,2019
DT405,Culinary Science,308,377,2019
DT407,Culinary Arts,271,342,2019
DT412,Tourism Marketing,284,322,2019
DT413,Event Management,356,389,2019
DT416,Culinary Entrepreneurship,275,339,2019
DT420,Nutraceuticals in Health and Nutrition,392,432,2019
DT421,Food Innovation,321,366,2019
DT422,Pharmaceutical Healthcare,397,423,2019
DT491,Environmental Health,343,380,2019
DT501,Music,383,520,2019
DT504,Film and Broadcasting,443,467,2019
DT506,Commercial Modern Music,468,835,2019
DT508,Game Design,403,454,2019
DT517,Languages and English Studies,326,419,2019
DT518,Languages and International Tourism,307,357,2019
DT529,Drama (Performance),371,519,2019
DT532,Law (LL.B.),422,441,2019
DT533,Contemporary Visual Culture,,,2019
DT544,Interior Design,552,866,2019
DT545,Design - Visual Communication,667,897,2019
DT546,Fine Art,668,813,2019
DT555,International Business and Languages,353,399,2019
DT559,Photography,700,926,2019
DT571,Social Care,394,424,2019
DT572,Early Childhood Education,385,403,2019
DT582,Journalism,347,373,2019
DT596,Print Media Technology and Management,252,311,2019
